"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=419&queryText%3DAutomotive+MATLAB",2014/02/11 19:40:45
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Automotive airbag assembly quality visual inspection method studies based on MATLAB","Shi Xianjiang; Zhao Yue; Song Peng; Sun Han; Ling Xiaohui; Wang Andong","Mech. & Power Eng. Coll., Harbin Univ. of Sci. & Technol., Harbin, China","Computer Science and Network Technology (ICCSNT), 2012 2nd International Conference on","29-31 Dec. 2012","2012","","","1225","1228","Based on BP artificial neural network, a method for the recognition of buckle which connect the airbag gas generator brackets and decorative cover is discussed in this paper. First, MATLAB is applied for image binarization and edge extraction. Then extract linear feature of the edge by using Hough transform. Finally, BP neural network is applied for image recognition and classification. It is demonstrated by practice that this method can be used for fast and efficient recognition of completely fasten buckle and incompletely fasten buckle with high accuracy and practical value.","","978-1-4673-2963-7","","10.1109/ICCSNT.2012.6526145","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6526145","BP neural network;MATLAB;aairbag;image recognition;sssembly quality","","Hough transforms;assembling;automobile manufacture;automotive components;backpropagation;edge detection;feature extraction;image classification;inspection;neural nets;production engineering computing","BP artificial neural network;Hough transform;MATLAB;airbag gas generator brackets;automotive airbag assembly;backpropagation;buckle recognition;decorative cover;edge extraction;image binarization;image classification;image recognition;linear feature extraction;quality visual inspection method","","","","0","","10","","","20130610","","IEEE","","IEEE Conference Publications"
"JMAAB Plant Modeling Guidelines and vehicle architecture","Ohata, A.; Komori, S.","Toyota Motor Corp., Japan","ICCAS-SICE, 2009","18-21 Aug. 2009","2009","","","484","487","Plant Modeling Working Group (PM-WG) of Japan Matlab<sup>reg</sup> Automotive Advisory Board (JMAAB) developed ldquoPlant Modeling Guidelines using Matlab<sup>reg</sup>rdquo with the collaboration of automotive companies and released the guidelines accompanied by a sample vehicle model in 2008. They recommend the vehicle model architecture and how to draw vehicle models with the good portability and readability. PM-WG has introduced a new capability called Two-Way-Connection (TWC) into Simulink<sup>reg</sup> which allows us to draw models with the intuitive physical image assembling parts. The sample model was constructed based on TWC. The guidelines intend to be referenced in other plant modeling tools because TWC can be a bridge between a tool based on causal modeling (signal flow or data flow mechanism) and another tool based on recent acausal modeling with connection mechanism.","","978-4-907764-34-0","978-4-907764-33-3","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5334789","acausal modeling;automotive control;causal modeling;modeling guidelines;plant modeling","Automotive engineering;Collaborative work;Communication system control;Computer languages;Control system synthesis;Guidelines;International collaboration;MATLAB;Mathematical model;Vehicles","automobile industry;automobiles;automotive components;mathematics computing","JMAAB plant modeling guideline;Japan Matlab automotive advisory board;PM-WG;TWC;acausal modeling;intuitive physical image assembling part;sample model;two-way-connection;vehicle model architecture","","","","0","","5","","","20091113","","IEEE","","IEEE Conference Publications"
"Improving Automotive Theory course teaching based on simulation experiment","Zhang, Xiaolong; Luo, Yuzhi","School of Engineering, Anhui Agricultural University, Hefei, China","World Automation Congress (WAC), 2012","24-28 June 2012","2012","","","1","4","The computer based simulation experiment platform, presenting the real automotive moving and performance test analysis process, can meet various teaching tasks for automotive engineering majors with different orientations. The paper introduces the simulation experiment platform from three aspects: 16 simulation modules programmed by Matlab and LabVIEW, the physical experiment system including automotive allocating sensor and virtual GPS based on NI virtual devices, and the advanced automotive dynamics simulation software Carsim and the automotive testing data analysis platform VBOX Tools. The simulation experiment platform can facilitate teaching interaction, enhance students understanding, and strengthen the application of computers in the automotive engineering, so improve the Automotive Theory course teaching effectively.","2154-4824","978-1-4673-4497-5","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6321720","automotive theory course;simulation test;teaching reform","","","","","","","0","","8","","","20121004","","IEEE","","IEEE Conference Publications"
"A study of approaches for model based development of an automotive driver information system","Yue Guo; Jones, R.P.","Sch. of Eng., Univ. of Warwick, Coventry","Systems Conference, 2009 3rd Annual IEEE","23-26 March 2009","2009","","","267","272","Over the past decades, the use of electronic systems in automotive vehicles has grown exponentially. Automotive systems engineering requires a sustainable integration of new methods, development processes, and tools that are specifically adapted to the automotive domain. This paper describes two approaches to the development of an automotive electronic system via a case study involving the modelling and code generation of a driver information system. The first approach involves the use of the SysML based tool Artisan Studio whilst the second approach involves the use of the MATLAB tools Simulink and Stateflow. The paper compares the two approaches and summarizes the strengths and weaknesses of two approaches respectively. Conclusions are drawn on how to make use of the model based design to meet the challenges in the automotive industry.","","978-1-4244-3462-6","978-1-4244-3463-3","10.1109/SYSTEMS.2009.4815810","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815810","Simulink/Stateflow;SysML;architectural modelling;automotive systems;code generation;functional modelling","Automotive electronics;Automotive engineering;Driver circuits;Information systems;Instruments;MATLAB;Mathematical model;Product development;Systems engineering and theory;Vehicle driving","automotive electronics;driver information systems;software tools","Artisan Studio;MATLAB tools;Simulink;Stateflow;automotive driver information system;automotive electronic system;automotive systems engineering;model based development;the SysML based tool","","","","1","","11","","","20090417","","IEEE","","IEEE Conference Publications"
"AutoPlug: An automotive test-bed for electronic controller unit testing and verification","Drolia, U.; Zhenyan Wang; Pant, Y.; Mangharam, R.","Dept. of Electr. & Syst. Eng., Univ. of Pennsylvania, Philadelphia, PA, USA","Intelligent Transportation Systems (ITSC), 2011 14th International IEEE Conference on","5-7 Oct. 2011","2011","","","1187","1192","In 2010, over 20.3 million vehicles were recalled. Software issues related to automotive controls such as cruise control, anti-lock braking system, traction control and stability control, account for an increasingly large percentage of the overall vehicles recalled. There is a need for new and scalable methods to evaluate automotive controls in a realistic and open setting. We have developed AutoPlug, an automotive Electronic Controller Unit (ECU) test-bed to diagnose, test, update and verify controls software. AutoPlug consists of multiple ECUs interconnected by a CAN bus, a race car driving simulator which behaves as the plant model and a vehicle controls monitor in Matlab. As the ECUs drive the simulated vehicle, the physics-based simulation provides feedback to the controllers in terms of acceleration, yaw, friction and vehicle stability. This closed-loop platform is then used to evaluate multiple vehicle control software modules such as traction, stability and cruise control. With this test-bed we highlight approaches for runtime ECU software diagnosis and testing of the stability and performance of the vehicle. Code updates can be executed via a smart phone so drivers may remotely “patch” their vehicle. This closed-loop automotive control test-bed allows the automotive research community to explore the capabilities and challenges of safe and secure remote code updates for vehicle recalls management.","2153-0009","978-1-4577-2198-4","","10.1109/ITSC.2011.6083139","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6083139","","Automotive engineering;Mathematical model;Runtime;Software;Stability analysis;Testing;Vehicles","automobiles;automotive electronics;controller area networks;feedback;friction;position control;road traffic control;stability","AutoPlug;CAN bus;ECU software diagnosis;Matlab;automotive electronic controller unit test-bed;closed-loop automotive control test-bed;control software verification;controller feedback;cruise control;electronic controller unit testing;electronic controller unit verification;friction stability;multiple ECU;multiple vehicle control software module;physics-based simulation;race car driving;smart phone;software issue;stability control;vehicle control monitor;vehicle performance;vehicle stability;yaw stability","","","","2","","15","","","20111117","","IEEE","","IEEE Conference Publications"
"An integrated environment for simulation and modelling","Kennedy, A.; Raistrick, C.","","Tools for Simulation and Modelling (Ref. No. 2000/043), IEE Seminar on","2000","2000","","","2/1","2/4","It is now widely accepted in the automotive electronics industry that the scale and complexity of the software content in cars is destined for dramatic increase in the coming five years, fuelled by intense competitive pressures. Kennedy Carter, along with its partners in two EU-funded research programs, has accepted the challenge of creating the definitive integrated development environment for embedded automotive software for the first decade of this century (2000-2010). The vision that informs these two projects is the need for an integrated development environment conforming to an open systems/software architecture. Part of that vision is that the algorithmic, control theoretic emphasis of much software development in the automotive industry hitherto will not be sufficient to manage the scale and complexity of the software challenge that the industry faces. Thus, tools such as MATRIXx and MatLab must be augmented by tools which have been proven in large scale telecommunications and aerospace projects and which support the separation of concerns, rapid prototyping, co-design and code generation. Kennedy Carter is now able to offer an integrated development environment (IDE), comprising the I-UML, I-SIM/RT and I-CCG products. Used in conjunction with MATRIXx from Integrated Systems, or MatLab/Simulink from The Mathworks, these products are able to realise the vision. The result is a development environment that offers comprehensive and flexible support for automotive system development","","","","10.1049/ic:20000227","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=848156","","","","","","","","0","1","","","","20020806","","IET","","IET Conference Publications"
"Hardware, software and mechanical cosimulation for automotive applications","Le Marrec, P.; Valderrama, C.A.; Hessel, F.; Jerraya, A.A.; Attia, M.; Cayrol, O.","TIMA Lab., IMAG, Grenoble, France","Rapid System Prototyping, 1998. Proceedings. 1998 Ninth International Workshop on","3-5 Jun 1998","1998","","","202","206","The design of automotive systems requires the joint design of hardware, software and micro-mechanical components. In traditional design approaches the different parts are designed by separate groups and the integration of the overall system is made at the final stage. This scheme may induce extra delays and costs because of interfacing problems. The paper presents a new automotive system design approach that offers many advantages including efficient design flow and shorter time to market. The key idea of our approach is to allow for early validation of the overall system through co-simulation. The design starts with a high level specification of each part. In our approach, software is described in C, hardware is described in VHDL and mechanical parts are described in MATLAB. A C-VHDL-MATLAB co-simulation is then used for functional validation of the initial specification. During the design process, the hardware and software parts may be refined using specific techniques and tools. The refinement steps are also validated through co-simulation. In this approach we use two kinds of co-simulation: untimed co-simulation is used for functional validation and timed co-simulation for real time validation. The paper describes the design approach and its successful application to an example from the automotive industry","1074-6005","0-8186-8479-8","","10.1109/IWRSP.1998.676692","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=676692","","Automotive engineering;Costs;Delay;Hardware;MATLAB;Process design;Refining;Software design;Software tools;Time to market","C language;automobile industry;automobiles;digital simulation;hardware description languages;mechanical engineering computing;symbol manipulation","C language;C-VHDL-MATLAB co-simulation;MATLAB;VHDL;automotive applications;automotive industry;automotive system design approach;automotive systems design;design process;early validation;functional validation;high level specification;mechanical cosimulation;micro-mechanical components;real time validation;refinement steps;timed co-simulation;untimed co-simulation","","","","10","","10","","","20020806","03 Jun 1998-05 Jun 1998","IEEE","","IEEE Conference Publications"
"Optimal design of intake system mufflers in engine based on single and multi-objective optimization","Aipeng Jiang; Jingtao Huang; Jian Wang; Qiang Ding; Zhoushu Jiang; Guohui Huang","Sch. of Autom., Hangzhou Dianzi Univ., Hangzhou","Intelligent Control and Automation, 2008. WCICA 2008. 7th World Congress on","25-27 June 2008","2008","","","8733","8737","Recently, more attention was put on the noise control of automotive. To reduce the noise of intake system of some kind of automotive, a model of automotive intake system was found based on transfer matrix method and black box experimental method. Then to fulfill the requirement of design and realize better anechoic effect, single objective optimization and multi-objective problem was formulated. To get the optimal performance and the optimal structure parameters, the problems were solved by genetic algorithm (GA) and NSGAII through Matlab platform, and optimal analysis was carried out to get the optimal parameters under different requirements and soft constraints. The results of our work have the guiding sense to the reality production.","","978-1-4244-2113-8","978-1-4244-2114-5","10.1109/WCICA.2008.4594613","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4594613","intake system;muffler;multi-objective;optimization;soft constraints","Algorithm design and analysis;Automotive engineering;Design optimization;Engines;Exhaust systems;Genetic algorithms;Intake systems;Mathematical model;Noise reduction;Performance analysis","automobiles;automotive engineering;engines;genetic algorithms;noise abatement","Matlab platform;automotive engine;automotive intake system;black box experimental method;intake system mufflers;multi-objective optimization;optimal analysis;optimal design;optimal structure parameters;single objective optimization;transfer matrix method","","","","0","","9","","","20080808","","IEEE","","IEEE Conference Publications"
"Co-simulation of SBW and FlexRay bus based on CANoe_MATLAB","Jianmin Duan; Hualin Deng; Yongchuan Yu","Coll. of Electron. Inf. & Control Eng., Beijing Univ. of Technol., Beijing, China","Automation and Logistics (ICAL), 2010 IEEE International Conference on","16-20 Aug. 2010","2010","","","202","206","Steer-by-wire is such a technology that replaces the traditional mechanical and hydraulic control systems by electronic control systems. As the next generation automotive network communications protocol, FlexRay meets the future demands of steer-by-wire network. This paper builds the co-simulation model of steer-by-wire and FlexRay bus on the basis of CANoe_MATLAB, which combines the advantages of CANoe(bus) and Matlab /Simulink (modeling) together, Steer-by-wire is simulated by Matlab /Simulink, FlexRay bus network is simulated by CANoe, which also verified by the hardware in loop. The tests are shown that SBW FlexRay communication between nodes is real time and accurate.","","978-1-4244-8375-4","978-1-4244-8374-7","10.1109/ICAL.2010.5585279","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5585279","CANoe;CANoe_MATL AB;FlexRay;steer-by-wire","Analytical models;Assembly;Driver circuits;MATLAB;Mathematical model;Vehicles;Wheels","automotive engineering;digital simulation;mathematics computing;steering systems;system buses","CANoe_MATLAB;FlexRay bus;SBW cosimulation;automotive network communications protocol;electronic control systems;hardware in loop;steer-by-wire","","","","0","","10","","","20100923","","IEEE","","IEEE Conference Publications"
"Automating the design flow for distributed embedded automotive applications: Keeping your time promises, and optimizing costs, too","Buker, M.; Damn, W.; Ehmen, G.; Metzner, A.; Stierand, I.; Thaden, E.","OFFIS, Germany","Industrial Embedded Systems (SIES), 2011 6th IEEE International Symposium on","15-17 June 2011","2011","","","156","165","We address the complete design flow from specification models of new automotive functions captured in Matlab-Simulink to their distributed execution on hierarchical bus-based electronic architectures hosting the release of already deployed automotive functions. We propose an automated design space exploration process resulting in a cost-optimized extension of the existing target hardware and an allocation of balanced task structures automatically derived from the specification model on this modified target hardware which is sufficient to guarantee both system-level timing requirements and deadlines extracted from the Matlab-Simulink specification model.","","978-1-61284-818-1","978-1-61284-819-8","10.1109/SIES.2011.5953658","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953658","","Analytical models;Computer architecture;Computer languages;Hardware;Resource management;Space exploration;Timing","CAD;automotive engineering;embedded systems;mathematics computing;production engineering computing","Matlab- Simulink;automated design space exploration process;balanced task allocation;cost optimization;design flow automation;distributed embedded automotive applications;hierarchical bus-based electronic architectures","","","","0","","25","","","20110714","","IEEE","","IEEE Conference Publications"
