"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=1969&queryText%3Dautomotive+model+based+design",2014/02/11 18:41:24
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Model-based design and verification of automotive electronics compliant with OSEK/VDX","Guoqing Yang; Minde Zhao; Lei Wang; Zhaohui Wu","Coll. of Comput. Sci., Zhejiang Univ., China","Embedded Software and Systems, 2005. Second International Conference on","16-18 Dec. 2005","2005","","","7 pp.","","Model-based approaches are gradually applied in embedded system design with Unified Modeling Language (UML) and its profiles, but in terms of automotive electronics domain, few developers adopt UML to design system models because of inadequate tools that support the domain-specific modeling. This paper puts forward a model-based approach for automobile electronics software design and verification with a dependable platform compliant with OSEK/VDX standard. In addition, a case study is presented to demonstrate the application of the approach. The contribution of the approach is threefold. First, the approach applies the theory of model-based design with OSEK/VDX standard in automotive electronics domain. Second, the approach solves the transformation between UML models and OSEK/VDX models through an efficient method. Third, the approach simulates the system models and provides the designer with the results to optimize the design at design-level.","","0-7695-2512-1","","10.1109/ICESS.2005.70","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1609882","","Application software;Automotive electronics;Design optimization;Electronic equipment testing;Embedded software;Embedded system;Software design;Software standards;Standards development;Unified modeling language","Unified Modeling Language;automotive electronics;electronic engineering computing;embedded systems;formal verification;object detection;object-oriented programming;open systems;standards;vehicles","OSEK;Unified Modeling Language;VDX;automobile electronics software design;automobile electronics software verification;automotive electronics;embedded system design","","","","2","","18","","","20060403","","IEEE","","IEEE Conference Publications"
"A Model for Requirements Traceability in a Heterogeneous Model-Based Design Process: Application to Automotive Embedded Systems","Dubois, H.; Peraldi-Frati, M.; Lakhal, F.","LIST, CEA, Gif-sur-Yvette, France","Engineering of Complex Computer Systems (ICECCS), 2010 15th IEEE International Conference on","22-26 March 2010","2010","","","233","242","Requirements traceability modeling is a key issue in real-time embedded design process. In such systems, requirements are of different nature (software-related, system-related, functional or non functional) and must be traced through a multilevel design flow which integrates multiple tools and heterogeneous models. Validation and Verification (V&V) activities must be performed on models and on the final product to check whether they match the initial requirements. Results of design and V&V activities must be able to impact traceability information. We thus propose DARWIN4REQ, a metamodel for requirement traceability, based on three independent flows (requirement model, solution model and V&V model). The new metamodel establishes a link between these flows and affords full traceability of requirements, including those set for heterogeneous models. This paper presents the DARWIN4REQ metamodel and its use in the context of heterogeneous models for requirements modeling, design and V&V. An automotive application illustrates the proposed approach based on UML-profiles such that SYSML, EAST-ADL2 and MARTE for design and on SIMULINK, SyNDEx and TIMESQUARE for V&V activities.","","978-1-4244-6638-2","978-1-4244-6639-9","10.1109/ICECCS.2010.2","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5628611","Requirement modeling;automotive application.;model-based design;real-time embedded systems;traceability model;validation and verification","Adaptation model;Automotive engineering;Context modeling;Mathematical model;Real time systems;Safety;Unified modeling language","Unified Modeling Language;automotive engineering;embedded systems;program verification","DARWIN4REQ metamodel;EAST-ADL2;MARTE;SIMULINK;SYSML;SyNDEx;TIMESQUARE;UML-profiles;automotive embedded system;heterogeneous model-based design process;multilevel design flow;real-time embedded design process;requirements traceability modeling;validation activity;verification activity","","","","1","","","","","20101111","","IEEE","","IEEE Conference Publications"
"Configuration and Change Management of the Outcomes of an Automotive Engine Control Model Based Software Design Process","Monti, S.; Nesci, W.; Angellotti, S.; Schellino, C.; Seminara, M.; Wuesthenagen, R.","Magneti Marelli Powertrain S.p.A, Sanford, NC","Computer Software and Applications, 2008. COMPSAC '08. 32nd Annual IEEE International","July 28 2008-Aug. 1 2008","2008","","","1065","1069","The adoption of model based design coupled with model compilers capable to generate production quality software code greatly improves the time-to-market and the capability to cope with the complexity of modern embedded controllers for automotive. As side-effect control and software engineers are in charge to deliver, maintain, and trace an increased amount of electronic outcomes such as executable models of controllers and systems, simulation test patterns, and acquisition data streams. Ensuring consistency of wide work-product collections, traceability towards stakeholder requirements, and compliancy with process assessment models requires the adoption of a development process in which model based development tool-chain deeply integrates with configuration and change management tools. This paper describes the approach and the actions that lead to the extension of a well established development process of hand-coded software to the new roles and skills introduced by model based design and the impact on the overall configuration and change management strategy.","0730-3157","978-0-7695-3262-2","978-0-7695-3262-2","10.1109/COMPSAC.2008.109","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591723","","Automotive engineering;Data engineering;Embedded software;Engines;Maintenance engineering;Production;Software design;Software maintenance;Software quality;Time to market","automotive components;control engineering computing;engines;program compilers;software engineering","automotive engine control;change management;embedded controllers;hand-coded software;model compilers;process assessment models;production quality software code;software design process;software engineers;stakeholder requirements;time-to-market","","","","1","","5","","","20080808","","IEEE","","IEEE Conference Publications"
"Model-based progressive design and verification of an integrated CMOS magnetic sensor for automotive applications","Close, G.F.; de Jong, G.","Melexis Technol., Bevaix, Switzerland","Specification and Design Languages (FDL), 2012 Forum on","18-20 Sept. 2012","2012","","","239","245","This paper presents a case study of the concrete usages and benefits of model-based design and verification applied to the development of an integrated sensor. The Hall-effect sensor is to be implemented in CMOS technology and to provide gear-tooth detection for automotive applications. A transaction-level mixed-signal model written in SystemVerilog is introduced. The model covers the key functional aspects of the sensor. The model being architecturally accurate allows the progressive system integration and verification of the implemented blocks, such as synthesis-ready RTL, compiled embedded software and analog transistor-level schematics. The model is shown to serve multiple purposes throughout the IC design and verification phase, overall shortening the IC development time. Furthermore the model is used in a systems in system context by the Tier 1 OEM to confirm the system concept phase and specifications, and in hardware and software in the loop application integration phases.","1636-9874","978-1-4673-1240-0","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337018","Hall-effect sensor;SystemVerilog;Transaction-level model;Verilog-AMS;functional verification;progressive integration","Hardware design languages;Integrated circuit modeling;Magnetic domains;Semiconductor device modeling;Software;Temperature sensors;Wheels","CMOS integrated circuits;Hall effect devices;automotive electronics;computerised instrumentation;gears;magnetic sensors;mechanical engineering computing","CMOS technology;IC design phase;IC verification phase;SystemVerilog;Tier 1 OEM;analog transistor-level schematics;automotive applications;compiled embedded software;gear-tooth detection;hardware-in-the-loop application integration phases;integrated CMOS magnetic sensor;model-based progressive design;model-based progressive verification;progressive system integration;progressive system verification;software-in-the-loop application integration phases;synthesis-ready RTL;system concept phase;system concept specifications;transaction-level mixed-signal model","","","","0","","13","","","20121025","","IEEE","","IEEE Conference Publications"
"A case study on the model-based design and integration of automotive cyber-physical systems","Di Shang; Eyisi, E.; Zhenkai Zhang; Koutsoukos, X.; Porter, J.; Karsai, G.; Sztipanovits, J.","EECS Dept., Vanderbilt Univ., Nashville, TN, USA","Control & Automation (MED), 2013 21st Mediterranean Conference on","25-28 June 2013","2013","","","483","492","Cyber-physical systems (CPS), such as automotive systems, are very difficult to design due to the tight interactions between the physical dynamics, computational dynamics and communication networks. In addition, the evaluation of these systems at the early design stages is very crucial and challenging. Model-based design (MBD) approaches have been applied in order to manage the complexities due interactions. In this paper, we present a case study to demonstrate the systematic design, analysis and evaluation of an integrated automotive control system. The system is composed of two independently designed controllers, a lane keeping controller and an adaptive cruise controller, which interact as a result of the integration. The integrated system is deployed on a hardware-in-the-loop simulator for evaluation under realistic scenarios. We present experimental results that demonstrate the effectiveness of the approach.","","978-1-4799-0995-7","","10.1109/MED.2013.6608766","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6608766","","Mathematical model;Roads;Software packages;Vehicle dynamics;Vehicles","adaptive control;automotive engineering;control system analysis;control system synthesis;design engineering;embedded systems","MBD approach;adaptive cruise controller;automotive cyber-physical system integration;communication networks;computational dynamics;hardware-in-the-loop simulator;integrated automotive control system analysis;integrated automotive control system design;integrated automotive control system evaluation;lane keeping controller;model-based design;physical dynamics","","","","0","","18","","","20130926","","IEEE","","IEEE Conference Publications"
"Reliability assessment of safety-relevant automotive systems in a model-based design flow","Reiter, S.; Pressler, M.; Viehl, A.; Bringmann, O.; Rosenstiel, W.","Microelectron. Syst. Design, FZI (Forschungszentrum Inf.), Karlsruhe, Germany","Design Automation Conference (ASP-DAC), 2013 18th Asia and South Pacific","22-25 Jan. 2013","2013","","","417","422","To support the reliability assessment of safety-relevant distributed automotive systems and reduce its complexity, this paper presents a novel approach that extends virtual prototyping towards error effect simulation. Besides the common functional and timed system simulation, error injection is used to stress error tolerance mechanisms. A quantitative assessment of the overall system reliability is performed by observing the system reactions and identifying incorrect system behavior. To foster the industrial application, the analysis is integrated in a model-based design flow, starting at the modeling level to assemble and parameterize the virtual prototype and to configure the analysis. The feasibility of the proposed approach is demonstrated by analyzing a representative safety-relevant automotive use case.","2153-6961","978-1-4673-3029-9","","10.1109/ASPDAC.2013.6509632","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6509632","","","automobiles;power engineering computing;reliability;road safety;virtual prototyping","error effect simulation;error injection;model-based design flow;overall system reliability;quantitative assessment;reliability assessment;safety-relevant automotive systems;stress error tolerance mechanisms;timed system simulation;virtual prototyping","","","","0","","18","","","20130427","","IEEE","","IEEE Conference Publications"
"Model-Based Design of Product Line Components in the Automotive Domain","Yoshimura, K.; Forster, T.; Muthig, Dirk; Pech, D.","Hitachi Res. Lab., Hitachi Ltd., Hitachi","Software Product Line Conference, 2008. SPLC '08. 12th International","8-12 Sept. 2008","2008","","","170","179","For installing product line engineering in practice, strategies are needed that are composed of smaller steps where, on the one hand, each of them represents a well-defined move towards the ultimate goal of a well-functioning product line organization but, on the other hand, does not bear unmanageable risks. Hence product line approaches like Fraunhofer PuLSETM must define such steps, as well as provide a framework that supports their systematic combination into a tailored organizational strategy for installing product line engineering. This paper presents one step of such a strategy that focuses on the design activity. A well-known model-based design approach from the automotive domain is extended by the concept of variability and decision modeling. The resulting method has been prototyped and validated in a controlled environment. The measured results show that the method can be easily applied and leads to an effort distribution analogously to the typical product line curve.","","978-0-7695-3303-2","","10.1109/SPLC.2008.20","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4626851","component engineering;decision model;model driven development;product line engineering;variability management","Automotive engineering;Design engineering;Engineering management;Investments;Laboratories;Mathematical model;Product design;Prototypes;Software engineering;Trademarks","CAD;automotive engineering;production engineering computing","automotive domains;decision modeling;model-based design;model-based design approach;product line curve;product line engineering","","","","0","","13","","","20080919","","IEEE","","IEEE Conference Publications"
"Research on Green Supply Chain Design for Automotive Industry Based on Green SCOR Model","Zhang Yongan; Liu Menghan","Sch. of Econ. & Manage., Beijing Univ. of Technol., Beijing, China","Information Management, Innovation Management and Industrial Engineering (ICIII), 2011 International Conference on","26-27 Nov. 2011","2011","2","","549","552","Automotive Industry is a booming business which not only brings enormous benefits but cause troubles to the environment. Developing this profitable industry without sacrificing the environment is gaining more and more attention in recent years. Green supply chain management (GSCM) realizes the pursuit of reducing the pollution and enhances the core competitiveness of automotive manufacturing industry. Based on the background of green supply chain management and low-carbon economy, this paper analyzes problems existing in GSCM for automotive manufacturing industry in China. The Green Supply Chain Operations Reference Model (Green SCOR Model) is constructed from three layers to analyze GSCM for automotive manufacturing enterprises. According to the result of the analysis, advices to GSCM for automotive manufacturing enterprises are put forward for managers.","","978-1-61284-450-3","","10.1109/ICIII.2011.277","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6116765","automotive manufacturing enterprises;green SCOR model;green supply chain management;low-carbon economy","Automotive engineering;Green products;Industries;Manufacturing;Recycling;Supply chain management;Supply chains","automobile industry;automobile manufacture;design for environment;environmental economics;pollution control;profitability;supply chain management","GSCM;automotive industry;automotive manufacturing enterprises;automotive manufacturing industry;environment;green SCOR model;green supply chain design;green supply chain management;green supply chain operations reference model;low-carbon economy;pollution reduction;profitable industry","","","","0","","5","","","20111229","","IEEE","","IEEE Conference Publications"
"Aerospace- proven software development processes and tools in automotive Environments: Experience, challenges and opportunities in model-based design","Gartner, J.","","Safety Critical Applications from Aerospace to Automotive, 2006. The IEE Seminar on (Ref. No. 2006/11441)","22 March 2006","2006","","","33","34","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01619026.png"" border=""0"">","0537-9989","0-86341-619-5","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1619026","","","","","","","","0","","","","","20060410","","IET","","IET Conference Publications"
"A Model-Based Design Tool of Automotive Software Architecture","Jeong-Si Kim; Chaedeok Lim; Tae-Man Han","Embedded Software Platform Res. Team, Electron. & Telecom Res. Inst., Daejeon, South Korea","Computer Software and Applications Conference (COMPSAC), 2010 IEEE 34th Annual","19-23 July 2010","2010","","","541","542","As the complexity and size of software in automotive embedded systems has grown steadily over the years, model-based software development is widely accepted by automotive industrial. A recent automotive standard, AUTOSAR gives developers a good opportunity to keep up with this trend. In this paper, to help develop automotive embedded software based on AUTOSAR, we propose a practical tool called ASAD(AUTOSAR Software Architecture Designer). ASAD, aside from the AUTOSAR software modeling environment, provides scalability and consistency.","0730-3157","978-1-4244-7512-4","978-0-7695-4085-6","10.1109/COMPSAC.2010.60","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5676304","","Automotive engineering;Computer architecture;Embedded software;Graphical user interfaces;Programming;Software architecture","CAD;automotive engineering;embedded systems;open systems;software architecture","AUTOSAR;AUTOSAR software architecture designer;automotive embedded software;automotive software architecture;model based software development;software complexity;software consistency;software scalability;software size","","","","0","","5","","","20101230","","IEEE","","IEEE Conference Publications"
