"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=1483&queryText%3Dautomotive+model+software",2014/02/11 18:51:26
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"A modeling approach for development of an automotive AMT ECU software with UML-RT","Hongbo Liu; Yulong Lei; Jianguo Zhang","State Key Lab. of Automobile, Jilin Univ., Changchun, China","Software Engineering and Data Mining (SEDM), 2010 2nd International Conference on","23-25 June 2010","2010","","","91","96","Over the past decades, the amount of automotive ECUs (Electronic Control Units) is increasing at a breathtaking pace. Accordingly, the size and complexity of ECU software also increased, and these give rise to various challenges to automotive software engineers. They need a new approach and tools to meet these challenges. Model-Based development is a choice. This paper presents a model-based design approach for the development of AMT (Automated Manual Transmission) ECU software using UML-RT language in automotive domain. UML-RT is a modeling language tailored to the demands of real-time software. The paper shows the methods and process on modeling functional and architectural model using UML-RT key diagram. Conclusions are drawn on how these models helps the different developers visualize, construct, and discuss together the structure and behavior of software's architecture.","","978-1-4244-7324-3","978-89-88678-22-0","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5542946","ECU Software;Model-Based;UML-RT;automotive engineering;software modeling","Actuators;Application software;Automatic control;Automotive engineering;Driver circuits;Embedded software;Gears;Object oriented modeling;Unified modeling language;Vehicles","","","","","","0","","11","","","20100809","","IEEE","","IEEE Conference Publications"
"A Model-Based Design Tool of Automotive Software Architecture","Jeong-Si Kim; Chaedeok Lim; Tae-Man Han","Embedded Software Platform Res. Team, Electron. & Telecom Res. Inst., Daejeon, South Korea","Computer Software and Applications Conference (COMPSAC), 2010 IEEE 34th Annual","19-23 July 2010","2010","","","541","542","As the complexity and size of software in automotive embedded systems has grown steadily over the years, model-based software development is widely accepted by automotive industrial. A recent automotive standard, AUTOSAR gives developers a good opportunity to keep up with this trend. In this paper, to help develop automotive embedded software based on AUTOSAR, we propose a practical tool called ASAD(AUTOSAR Software Architecture Designer). ASAD, aside from the AUTOSAR software modeling environment, provides scalability and consistency.","0730-3157","978-1-4244-7512-4","978-0-7695-4085-6","10.1109/COMPSAC.2010.60","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5676304","","Automotive engineering;Computer architecture;Embedded software;Graphical user interfaces;Programming;Software architecture","CAD;automotive engineering;embedded systems;open systems;software architecture","AUTOSAR;AUTOSAR software architecture designer;automotive embedded software;automotive software architecture;model based software development;software complexity;software consistency;software scalability;software size","","","","0","","5","","","20101230","","IEEE","","IEEE Conference Publications"
"Using the IDEAL software process improvement model for the implementation of Automotive SPICE","Klendauer, R.; Hoffmann, A.; Leimeister, J.M.; Berkovich, M.; Krcmar, H.","Adv. Eng., SMR Automotive Mirrors Stuttgart GmbH, Stuttgart, Germany","Cooperative and Human Aspects of Software Engineering (CHASE), 2012 5th International Workshop on","2-2 June 2012","2012","","","66","72","Most suppliers in the automotive industry are facing the challenge of implementing Automotive SPICE, a domain-specific model of ISO/IEC 15504, which was first published in 2005. Original equipment manufacturers have increasingly requested SPICE certifications from their suppliers in order to effectively evaluate the development processes and identify reliable partners. To support organizations in their software process improvement effort, the Software Engineering Institute (SEI) developed the IDEAL model. This guide is, however, influenced by the SEI's work on CMM and based on the experiences with very large organizations. The goal of this paper is to examine the suitability of the IDEAL model for the implementation of Automotive SPICE at a medium-sized R&D department. Preliminary results from an action research study at a global systems engineering company are discussed. The data indicate that adjustments are especially needed with regard to the factors participation and communication. Also, informal networks between companies, early decision-making and usability are shown to play an important role and might be added to the model.","","978-1-4673-1823-5","","10.1109/CHASE.2012.6223026","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6223026","Automotive-SPICE;IDEAL-Model;improvement models;software process improvement","Automotive engineering;Companies;IEC standards;ISO standards;SPICE","Capability Maturity Model;automotive engineering;decision making;research and development;software standards","CMM;IDEAL software process improvement model;ISO/IEC 15504;SEI;SPICE certifications;Software Engineering Institute;automotive SPICE Implementation;automotive industry;domain-specific model;early decision making;global systems engineering company;informal networks;medium-sized R&D department","","","","0","","17","","","20120625","","IEEE","","IEEE Conference Publications"
"Using Models to Improve the Availability of Automotive Software Architectures","Shelton, C.; Martin, C.","Robert Bosch LLC, Farmington","Software Engineering for Automotive Systems, 2007. ICSE Workshops SEAS '07. Fourth International Workshop on","20-26 May 2007","2007","","","9","9","This paper presents an initial model for evaluating and improving the availability of a software architecture design. The model is implemented as a reasoning framework in the ArchE architecture expert system developed jointly with the Software Engineering Institute. To ensure continuous availability many automotive electronic control units (ECUs) employ an external watchdog running on a separate CPU to monitor the software running on the ECU. If the ECU has a failure that causes interruption of its functionality, the watchdog can detect this and reset the ECU to restore correct operation. The availability model can automatically evaluate the effectiveness of a watchdog design in the software architecture and can propose improvements to achieve better availability before implementation decisions are made. The model enables a quantitative analysis of system availability that can better guide software architecture and dependability design decisions and potentially reduce implementation and testing effort.","","0-7695-2968-2","","10.1109/SEAS.2007.11","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228596","","Automatic control;Automotive electronics;Automotive engineering;Availability;Computer architecture;Condition monitoring;Expert systems;Software architecture;Software design;Software engineering","automotive electronics;expert systems;inference mechanisms;software architecture","ArchE architecture expert system;Software Engineering Institute;automotive electronic control units;automotive software architectures;reasoning framework","","","","0","","5","","","20070611","","IEEE","","IEEE Conference Publications"
"Model-driven requirements validation for automotive embedded software using UML","Kwan-Hyung Lee; Pan-Gi Min; Ju-Hyung Cho; Dong-Jin Lim","Dept. of Electron. & Syst. Eng., Hanyang Univ., Ansan, South Korea","Computing Technology and Information Management (ICCM), 2012 8th International Conference on","24-26 April 2012","2012","1","","46","50","Nowadays, A lot of effects are making a change in how the automotive field develops software. Some of these effects include: growing complexity of the embedded software; increasing amount of software in the vehicle; limited resources of development period, manpower, money; and the emergency of software-driven safety-critical systems. However, since all works including the communication about design, data, constraint, performance between supplier and original equipment manufacturer (OEM) are only document-driven, such document-driven development (DDD) process has some intrinsic problems. Obscure specification may generate errors and misunderstandings and so on. In this paper, the model-driven software development process is realized and that for a body control module (BCM) is demonstrated to verify and validate automotive embedded software requirements for solving these problems without any additional cost and equipments.","","978-1-4673-0893-9","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6268468","BCM (Body Control Module);Model-driven;Requirement validation;UML(Unified Modeling Language)","Automotive engineering;Embedded software;Monitoring;Programming;Timing;Unified modeling language","Unified Modeling Language;automotive engineering;program verification;safety-critical software","DDD;OEM;UML;automotive embedded software;automotive embedded software requirements;body control module;document-driven development process;growing complexity;model-driven requirements validation;obscure specification;original equipment manufacturer;software-driven safety-critical systems","","","","0","","8","","","20120816","","IEEE","","IEEE Conference Publications"
"Configuration and Change Management of the Outcomes of an Automotive Engine Control Model Based Software Design Process","Monti, S.; Nesci, W.; Angellotti, S.; Schellino, C.; Seminara, M.; Wuesthenagen, R.","Magneti Marelli Powertrain S.p.A, Sanford, NC","Computer Software and Applications, 2008. COMPSAC '08. 32nd Annual IEEE International","July 28 2008-Aug. 1 2008","2008","","","1065","1069","The adoption of model based design coupled with model compilers capable to generate production quality software code greatly improves the time-to-market and the capability to cope with the complexity of modern embedded controllers for automotive. As side-effect control and software engineers are in charge to deliver, maintain, and trace an increased amount of electronic outcomes such as executable models of controllers and systems, simulation test patterns, and acquisition data streams. Ensuring consistency of wide work-product collections, traceability towards stakeholder requirements, and compliancy with process assessment models requires the adoption of a development process in which model based development tool-chain deeply integrates with configuration and change management tools. This paper describes the approach and the actions that lead to the extension of a well established development process of hand-coded software to the new roles and skills introduced by model based design and the impact on the overall configuration and change management strategy.","0730-3157","978-0-7695-3262-2","978-0-7695-3262-2","10.1109/COMPSAC.2008.109","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591723","","Automotive engineering;Data engineering;Embedded software;Engines;Maintenance engineering;Production;Software design;Software maintenance;Software quality;Time to market","automotive components;control engineering computing;engines;program compilers;software engineering","automotive engine control;change management;embedded controllers;hand-coded software;model compilers;process assessment models;production quality software code;software design process;software engineers;stakeholder requirements;time-to-market","","","","1","","5","","","20080808","","IEEE","","IEEE Conference Publications"
"Modeling requirements of automotive software with an extended EAST-ADL2 architecture description language","Xiaojian Liu; Xuqin Yan; ChengYong Mao; Xiaobo Che; Zhixue Wang","Shandong Key Lab. of Automotive Tech., Shandong Acad. of Sci., Jinan, China","Industrial and Information Systems (IIS), 2010 2nd International Conference on","10-11 July 2010","2010","2","","521","524","Modeling software requirements is one of the grand challenges of ECU (Electronic Control Unit) development for vehicular applications. One of the main problems in this domain is: How to organize the large amount of complicated software requirements with a concise and manageable means. EAST-ADL2, as an architecture description language dedicated to automotive electronic systems, is well-suitable for describing the system structures, however it has no facilities for the system behavioral and communication aspects. In this paper, we extend the EAST-ADL2 language with timed automata and signal matrix to form a multiview requirement modeling language. Furthermore, we use a theory of 4-variable requirement model to link these three formalisms together to form a consistent and complete understanding of automotive software requirements. The proposed modeling framework takes the advantages that: (1) it allows us to separate the whole requirements into three complementary aspects: structure, timing behavior and communication signals, which combined together to form a complete and consistent software requirements; (2) it builds numerous formal relationships, which can be checked furthermore for requirement verifications.","","978-1-4244-7860-6","","10.1109/INDUSIS.2010.5565769","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5565769","Architecture description language;Automotive software;Model-driven development;Requirement modeling;Timed automata","Actuators;Clocks;Driver circuits;Hardware;Medical services;Monitoring;Prototypes","automobiles;automotive electronics;finite state machines;simulation languages;software engineering;traffic engineering computing","4-variable requirement model;ECU development;automotive electronic systems;automotive software modeling requirement;communication signals;electronic control unit;extended EAST-ADL2 architecture description language;finite state machine;multiview requirement modeling language;signal matrix;system structures;timed automata","","","","0","","8","","","20100907","","IEEE","","IEEE Conference Publications"
"Executable specifications for model-based development of automotive software","Bodenstein, C.; Lohse, F.; Zimmermann, A.","Syst. & Software Eng., Tech. Univ. Ilmenau, Ilmenau, Germany","Systems Man and Cybernetics (SMC), 2010 IEEE International Conference on","10-13 Oct. 2010","2010","","","727","732","Automotive software design is a challenging task because of increasing system complexity. This paper proposes a model-based software development process for complex embedded systems in automotive applications. The gap between early requirement specifications and the development of electronic control units for specific features is bridged with an approach using executable specifications. Behavioral and non-functional properties of the system to be designed can thus be evaluated early during the design process, which improves the confidence of strategic design decisions. Moreover, the executable system model serves as an interface description for module designers, which eases the problem of system integration. The problem of increasing resources for system simulation and optimization is treated by an approach of accuracy adaptive system simulation. The paper presents work in progress towards a complete methodology and tool chain using a CAN bus example.","1062-922X","978-1-4244-6586-6","","10.1109/ICSMC.2010.5641836","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5641836","","Annealing;Bit rate;Computational modeling;Lead;Monitoring;Process control;Vehicles","automotive electronics;embedded systems;formal specification;optimisation","adaptive system simulation;automotive software design;complex embedded systems;electronic control units;executable specifications;model-based development;optimization","","","","2","","14","","","20101122","","IEEE","","IEEE Conference Publications"
"Rule Checking within the Model-Based Development of Safety-Critical Systems and Embedded Automotive Software","Farkas, T.; Grund, D.","Fraunhofer Inst. for Open Commun. Syst.","Autonomous Decentralized Systems, 2007. ISADS '07. Eighth International Symposium on","21-23 March 2007","2007","","","287","294","Safety and reliability cannot be tested into technical software systems on embedded control units after their development. Preventive actions have to be taken in respect of safety and reliability. An automatic and tool supported check of custom rules, industry standards and enterprise wide guidelines can support the quality assurance process. In the domain of automotive software engineering there is a lack of automatic checking for standard conformance. Especially, a formal and tool independent notation of rules to follow is missing. In this paper, the model-based development of automotive vehicle functions with the tools MATLAB, Simulink and Stateflow is taken as an example to show how textual rules describing standards to be met can be transformed into a formal notation using the open standards MOF and OCL. Thereafter these rules can be checked automatically. The feasibility of this approach is shown by a software demonstrator","","0-7695-2804-X","","10.1109/ISADS.2007.66","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4144682","","Automatic control;Automotive engineering;Control systems;Embedded software;Mathematical model;Software safety;Software systems;Software testing;Standards development;System testing","automotive engineering;embedded systems;knowledge based systems;software engineering","MATLAB;Simulink;Stateflow;automotive software engineering;embedded automotive software;embedded control units;reliability;rule checking;safety-critical systems;technical software systems","","","","0","","26","","","20070402","","IEEE","","IEEE Conference Publications"
"Model-based software validation for automotive control systems","Ito, Y.; Sugure, Y.; Oho, S.","Central Res. Lab., Hitachi, Ltd., Tokyo, Japan","Control Automation and Systems (ICCAS), 2010 International Conference on","27-30 Oct. 2010","2010","","","912","915","Virtual hardware-in-the-loop simulation (VHILS) simulation was proposed to validate real-time control software. The VHILS simulator integrated entire mechatronic control systems and dealt with multiple technology domains of mechanical, electronic, control and software. A processor simulator ran control software codes in binary format and analyzed accurately their real-time behavior. The VHILS concept was applied to an automotive adaptive cruise control system (ACCS), and driver maneuvering, vehicle dynamics, micro controller operation and CAN communication were modeled. The modeling efficiency of the serial data communication and the data exchange between the CAN model and the multi-domain simulation were identified as the primarily causes of longer computational time. By carefully designing the simulator interface and the CAN model, we successfully built a VHILS for the ACCS that agreed accurately with experimental results and yielded a practical turn-around time.","","978-1-4244-7453-0","978-89-93215-02-1","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5669803","Automotive Control;Co-Simulation;Software Validation;Virtual HILS;Virtual System","Adaptation model;Computational modeling;Computers;Control systems;Mathematical model;Real time systems;Software","adaptive control;automotive engineering;controller area networks;mechatronics;microcontrollers;program verification;real-time systems;road vehicles;vehicle dynamics","CAN communication;VHILS simulator;automotive adaptive cruise control system;automotive control systems;driver maneuvering;mechatronic control systems;micro controller operation;model-based software validation;real-time control software;vehicle dynamics;virtual hardware-in-the-loop simulation","","","","0","","2","","","20101217","","IEEE","","IEEE Conference Publications"
"Configuring Variant-rich Automotive Software Architecture Models","Weiland, J.","DaimlerChrysler AG, Stuttgart","Automotive Electronics, 2006. The 2nd IEE Conference on","20-21 March 2006","2006","","","73","80","The automotive industry is characterized by numerous of product variants, often driven by embedded software. Significant are concepts for modelling variability in the software architecture and management of variability during software development. This presentation describes concepts for managing and modelling variability in variant rich Simulink architecture models. This is a precondition for a partly automation of variant configuration of embedded automotive software.","","0-86341-609-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4123428","","","automobile industry;electronic engineering computing;software architecture;software management","Simulink architecture models;automotive industry;embedded automotive software;embedded software;modelling variability;partly automation;product variants;software architecture;software management","","","","0","","","","","20070312","","IET","","IET Conference Publications"
"AutoMoDe - model-based development of automotive software","Ziegenbein, D.; Braun, P.; Freund, U.; Bauer, A.; Romberg, J.; Schatz, B.","Robert Bosch GmbH, Stuttgart, Germany","Design, Automation and Test in Europe, 2005. Proceedings","7-11 March 2005","2005","","","171","176 Vol. 3","The paper describes first results from the AutoMoDe (automotive model-based development) project. The project's overall goal is to develop an integrated methodology for model-based development of automotive control software, based on problem-specific design notations with an explicit formal foundation. Based on the existing AutoFOCUS framework (Huber, F. et al., 1997), a tool prototype is being developed in order to illustrate and validate the key elements of our approach.","1530-1591","0-7695-2288-2","","10.1109/DATE.2005.77","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1395815","","Automatic testing;Automotive engineering;Clocks;Design automation;Design engineering;Frequency;Software testing;Software tools;Time of arrival estimation;Timing","automotive electronics;control system synthesis;control systems;software prototyping;software tools","automotive control software;automotive model-based development project;automotive software;explicit formal foundation;integrated methodology;problem-specific design notations;tool prototype","","","","4","","13","","","20050321","","IEEE","","IEEE Conference Publications"
"Towards Model-Based Failure-Management for Automotive Software","Ermagan, V.; Krueger, I.; Menarini, M.; Mizutani, J.-i.; Oguchi, K.; Weir, D.","Univ. of California, San Diego","Software Engineering for Automotive Systems, 2007. ICSE Workshops SEAS '07. Fourth International Workshop on","20-26 May 2007","2007","","","8","8","Failure management is a particular challenge problem in the automotive domain. Today's cars host a network of 30 to 80 electronic control units (ECUs), distributed over up to five interconnected in-car networks supporting hundreds to thousands of software- defined functions. This high degree of distribution of hard- and software components is a key contributor to the difficulty of failure management in vehicle. This paper addresses comprehensive failure management, starting from domain models for logical and deployment models of automotive software. These models capture interaction patterns as a critical part of both logical and deployment architectures, introducing failure detection and mitigation as ""wrapper"" services to ""unmanaged services"", i.e. services without failure management. We show how these models can be embedded into an interaction-centric development process, which captures failure management information across development phases. Finally, we exploit the failure management models to verify that a particular architecture meets its requirements under the stated failure hypothesis.","","0-7695-2968-2","","10.1109/SEAS.2007.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228595","","Application software;Automotive engineering;Computer architecture;Failure analysis;Ontologies;Road accidents;Software performance;Software safety;US Department of Transportation;Vehicles","automotive engineering;failure analysis;mechanical engineering computing;road safety","automotive software;electronic control units;failure detection;failure mitigation;in-car networks;interaction-centric development process;model-based failure-management;software-defined functions","","","","2","","12","","","20070611","","IEEE","","IEEE Conference Publications"
