"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=42&queryText%3Dautomotive+SPICE+Model",2014/02/11 19:38:44
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Using the IDEAL software process improvement model for the implementation of Automotive SPICE","Klendauer, R.; Hoffmann, A.; Leimeister, J.M.; Berkovich, M.; Krcmar, H.","Adv. Eng., SMR Automotive Mirrors Stuttgart GmbH, Stuttgart, Germany","Cooperative and Human Aspects of Software Engineering (CHASE), 2012 5th International Workshop on","2-2 June 2012","2012","","","66","72","Most suppliers in the automotive industry are facing the challenge of implementing Automotive SPICE, a domain-specific model of ISO/IEC 15504, which was first published in 2005. Original equipment manufacturers have increasingly requested SPICE certifications from their suppliers in order to effectively evaluate the development processes and identify reliable partners. To support organizations in their software process improvement effort, the Software Engineering Institute (SEI) developed the IDEAL model. This guide is, however, influenced by the SEI's work on CMM and based on the experiences with very large organizations. The goal of this paper is to examine the suitability of the IDEAL model for the implementation of Automotive SPICE at a medium-sized R&D department. Preliminary results from an action research study at a global systems engineering company are discussed. The data indicate that adjustments are especially needed with regard to the factors participation and communication. Also, informal networks between companies, early decision-making and usability are shown to play an important role and might be added to the model.","","978-1-4673-1823-5","","10.1109/CHASE.2012.6223026","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6223026","Automotive-SPICE;IDEAL-Model;improvement models;software process improvement","Automotive engineering;Companies;IEC standards;ISO standards;SPICE","Capability Maturity Model;automotive engineering;decision making;research and development;software standards","CMM;IDEAL software process improvement model;ISO/IEC 15504;SEI;SPICE certifications;Software Engineering Institute;automotive SPICE Implementation;automotive industry;domain-specific model;early decision making;global systems engineering company;informal networks;medium-sized R&D department","","","","0","","17","","","20120625","","IEEE","","IEEE Conference Publications"
"Model requirements for simulation of low-voltage MOSFET in automotive applications","Buttay, C.; Morel, H.; Allard, B.; Lefranc, P.; Brevet, O.","Electr. Machines & Drives Res. Team, Univ. of Sheffield","Power Electronics, IEEE Transactions on","May 2006","2006","21","3","613","624","This paper focuses on the modeling of low-voltage automotive power electronic circuits to obtain accurate system simulation, including estimation of losses. The aim is to compare several metal-oxide semiconductor field-effect transistor (MOSFET) models to find out which can be used for low-voltage, high-current automotive converter simulations. As these models are intended for system simulation, only analytical models are addressed as they may be implemented into any circuit simulator. The different modes of operation of the switches are described (commutation, synchronous rectification, avalanche...), and several models of the power MOSFET transistor, allowing for simulation in these modes, are presented. Special care is given to the parameter extraction methods and to the interconnection model of the commutation cell. The four test circuits used to identify the low-voltage power MOSFET model parameters are presented. Comparison between simulations and measurements obtained with a calorimeter are then detailed. This measurement method is accurate and offers a simple way to prove the quality of simulation results. It is shown that the parameter identification is of major concern to achieve high accuracy, as classical Spice models can give good results, providing the model parameters are correctly set","0885-8993","","","10.1109/TPEL.2006.872383","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1629001","Characterization;circuit parasitics;electrothermal;model;power metal-oxide semiconductor field-effect transistor (MOSFET);validation","Analytical models;Automotive applications;Automotive engineering;Circuit simulation;Circuit testing;MOS devices;MOSFET circuits;Power MOSFET;Power electronics;Power system modeling","automotive electronics;calorimeters;circuit testing;parameter estimation;power MOSFET;power convertors","automotive applications;commutation cell;low-voltage MOSFET;metal-oxide semiconductor field-effect transistor;parameter extraction method;parameter identification;power MOSFET;power electronic circuits;test circuits","","","","4","","23","","","20060508","","IEEE","IEEE Power Electronics Society","IEEE Journals & Magazines"
"Noise mitigation analysis of a π-filter for an automotive control module","Rostamzadeh, C.; Canavero, F.; Kashefi, F.","Automotive Group, Robert Bosch LLC, Farmington Hills, CA, USA","Electromagnetic Compatibility (EMC), 2010 IEEE International Symposium on","25-30 July 2010","2010","","","591","596","Electromagnetic interference (EMI) filters are often used on automotive 13.8 V<sub>DC</sub> power networks to reduce high-frequency noise from being conducted off the printed circuit boards (PCB) and resulting into EMI problems. The filter performance is difficult to predict and often compromised at high frequencies due to parasitics associated with the filter itself, or the PCB layout. The power line filters with Surface Mount Technology ferrite and Multi Layer Ceramic Capacitors are attractive solutions for mitigation of RF noise in high-density automotive PCBs. A lumped-element SPICE model is introduced for optimized π-filter design, including frequency-dependent ferrite component model. The PCB implementation of EMI filter is outlined for optimum filter performance.","2158-110X","978-1-4244-6305-3","","10.1109/ISEMC.2010.5711343","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5711343","","Automotive engineering;Capacitors;Electromagnetic interference;Ferrites;Filtering theory;Noise;Power harmonic filters","SPICE;automotive electronics;ceramic capacitors;electrolytic capacitors;electromagnetic interference;switched mode power supplies","automotive control module;automotive power networks;electromagnetic interference filters;lumped-element SPICE model;multi layer ceramic capacitors;noise mitigation analysis;power line filters;surface mount technology","","","","1","","15","","","20110210","","IEEE","","IEEE Conference Publications"
"From CMMI to SPICE - Experiences on How to Survive a SPICE Assessment Having Already Implemented CMMI","Vanamali, B.; Bella, F.; Hormann, K.","KUGLER MAAG CIE GmbH, Kornwestheim","Computer Software and Applications, 2008. COMPSAC '08. 32nd Annual IEEE International","July 28 2008-Aug. 1 2008","2008","","","1045","1052","Dealing with multiple models for process assessment and improvement is a challenging, time-consuming task. In the automotive sector, for example, several suppliers drive their process improvement on the basis of CMMIreg. However, many car manufacturers require process capability ratings determined on the basis of Automotive SPICEtrade. An approach is presented to prepare Automotive SPICE by making extensive use of the work already performed to align processes to CMMI. The approach was already successfully applied in industrial settings and lessons learned are discussed. The approach helps to avoid misunderstandings during assessments due to different model taxonomy, achieve appropriate process ratings, and save both effort and cost.","0730-3157","978-0-7695-3262-2","978-0-7695-3262-2","10.1109/COMPSAC.2008.230","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591720","Case;Industrial Experiences;SPI Methods and Tools;Systems and Software Process Improvement","Application software;Automotive engineering;Capability maturity model;Computer applications;Europe;IEC standards;ISO standards;Manufacturing industries;Manufacturing processes;SPICE","Capability Maturity Model;SPICE;automobile manufacture;automotive electronics","Automotive SPICE;CMMI;car manufacturers;process assessment;process improvement","","","","0","","11","","","20080808","","IEEE","","IEEE Conference Publications"
"A SPICE compatible behavioral electrical model of a heated tungsten filament","Ben-Yaakov, S.; Peretz, M.M.; Hesterman, B.","Dept. of Electr. & Comput. Eng., Ben-Gurion Univ. of the Negev, Beer-Sheva","Applied Power Electronics Conference and Exposition, 2005. APEC 2005. Twentieth Annual IEEE","6-10 March 2005","2005","2","","1079","1084 Vol. 2","A behavioral, SPICE compatible model of the electrical behavior of a tungsten filament is proposed and verified experimentally. The model is calibrated by simple measurements on the target filament that include the static V-A relationship and the current transient in response to a voltage step. The model was found to faithfully reproduce the static and dynamic electrical behavior of the tested lamps that include: an automotive H4 lamp, a 500 W halogen projector lamp and a filament of a 36 W fluorescent lamp","","0-7803-8975-1","","10.1109/APEC.2005.1453128","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1453128","","Electric variables measurement;Heat engines;Mathematical model;Resistance heating;SPICE;Temperature;Thermal conductivity;Tungsten;Vehicle dynamics;Voltage","SPICE;filament lamps;fluorescent lamps;power engineering computing;specific heat;transient response;tungsten","SPICE;automotive H4 lamp;current transient response;dynamic electrical behavior;fluorescent lamp;halogen projector lamp;heat capacity;heated tungsten filament;simulation program with integrated circuit emphasis;static V-A relationship;thermal model","","","","1","","19","","","20050627","","IEEE","","IEEE Conference Publications"
"Prediction of crosstalk due to showering arcs at switch contacts","Hall, S.W.; Paul, Clayton R.; Hardin, K.B.; Nielsen, A.D.","Dept. of Electr. Eng., Kentucky Univ., Lexington, KY, USA","Electromagnetic Compatibility, 1991. Symposium Record., IEEE 1991 International Symposium on","12-16 Aug 1991","1991","","","365","369","The modeling and prediction of crosstalk in automotive wiring harnesses that is due to arcing at the contacts of mechanical switches are addressed. A model of the showering arc phenomenon at a switch contact is developed. This model is suitable for implementation in CAD codes such as SPICE, PSPICE, and PRECISE. The crosstalk is modeled using lumped-parameter circuits (lumped-pi). Experimental results are shown which validate the model and also indicate the severe crosstalk that can be produced by this showering arc","","0-7803-0158-7","","10.1109/ISEMC.1991.148256","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=148256","","Automotive engineering;Batteries;Circuits;Contacts;Crosstalk;Inductance;Performance analysis;SPICE;Switches;Wiring","arcs (electric);automotive electronics;circuit CAD;circuit analysis computing;crosstalk;distributed parameter networks;switches;wiring","CAD codes;PRECISE;PSPICE;SPICE;automotive wiring harnesses;crosstalk;lumped pi circuit;lumped-parameter circuits;mechanical switches;modeling;prediction;showering arcs;switch contacts","","","","1","","13","","","20020806","12 Aug 1991-16 Aug 1991","IEEE","","IEEE Conference Publications"
"FITMOS modeling and dynamic on-state characteristic evaluation","Wei Li; Page, W.; Perreault, D.J.","Lab. for Electromagn. & Electron. Syst., Massachusetts Inst. of Technol., Cambridge, MA, USA","Energy Conversion Congress and Exposition (ECCE), 2010 IEEE","12-16 Sept. 2010","2010","","","378","385","This paper presents a study of the detailed characteristics of the new Floating Island and Thick Bottom Oxide Trench Gate MOSFET (FITMOS) developed at Toyota. FITMOS has tremendous potential for automotive applications due to its low on-resistance, improved temperature coefficient of resistance and low gate charge. During the study, the key characteristics of this novel FITMOS were investigated; a behavioral model was developed in SPICE for simulation and optimization purposes, and their applications in the design of automotive power electronics was explored. In this study, we also identify a previously unrecognized phenomenon in the FITMOS MOSFET. In particular, we show that the on-state resistance of the device depends on both frequency and peak di/dt at a given frequency. This dynamic on-resistance variation can have a significant application impact.","","978-1-4244-5286-6","978-1-4244-5287-3","10.1109/ECCE.2010.5618005","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5618005","AC characteristics;DC-DC converters;FITMOS;I-V characteristics;capacitance modeling;on-resistance;optimization;reverse recovery;soft switching","Capacitance;Converters;Current measurement;Logic gates;MOSFET circuits;Mathematical model;Numerical models","MOSFET;power electronics","SPICE;automotive power electronics;dynamic on-state characteristic evaluation;floating island and thick bottom oxide trench gate MOSFET;low gate charge;temperature coefficient","","","","0","","6","","","20101101","","IEEE","","IEEE Conference Publications"
"Characterization of 6H-SiC JFETs for use in a temperature monitor operating from 25°C to 350°C","Casady, J.B.; Johnson, R.W.; Dillard, W.C.","Dept. of Electr. Eng., Auburn Univ., AL, USA","Electronic Components and Technology Conference, 1995. Proceedings., 45th","21-24 May 1995","1995","","","255","260","6H-SiC buried-gate n-channel depletion-mode Junction Field-Effect Transistors (JFETs) manufactured by Cree Research, Inc. were characterized from 25 to 350°C in terms of transconductance (g<sub>m </sub>), pinchoff voltage (V<sub>p</sub>), output resistance (r<sub>0 </sub>), input resistance (R<sub>in</sub>), drain-to-source current at zero gate-to-source voltage (I<sub>DSS</sub>), gate-to-source reverse biased leakage current (I<sub>GSS</sub>), off-state drain-to-source current (I<sub>DSS(off</sub>)), and noise power spectral density (S<sub>V </sub>). Degradation of the small-signal voltage gain (to ~1 at 350°C) as a result of increasing output resistance, was found to be the most serious device shortcoming. The 6H-SiC JFETs were tested for use in a temperature monitoring circuit (from 25 to 350°C) currently under development at Auburn University for use in automotive and other industrial applications. A SPICE model was developed to match the experimental data obtained from the 6H-SiC JFETs and diode. The SPICE simulation of the temperature monitoring circuit's output voltage corresponded well with measured data as a function of temperature. Maximum temperature percent error was 2.4% over the temperature range of 25 to 350°C","","0-7803-2736-5","","10.1109/ECTC.1995.514394","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=514394","","Circuit testing;Decision support systems;FETs;JFETs;Manufacturing;SPICE;Temperature distribution;Temperature measurement;Temperature sensors;Voltage","SPICE;junction gate field effect transistors;semiconductor materials;silicon compounds;temperature sensors","25 to 350 C;6H-SiC JFETs;Cree Research;SPICE simulation;SiC;buried-gate n-channel depletion-mode junction field-effect transistors;drain-to-source current;gate-to-source reverse biased leakage current;input resistance;noise power spectral density;off-state drain-to-source current;output resistance;pinchoff voltage;small-signal voltage;temperature monitoring circuit;transconductance","","","","1","","16","","","20020806","21 May 1995-24 May 1995","IEEE","","IEEE Conference Publications"
"Design of an integrated angular sensor system","Kero, N.; Sauter, T.","Inst. of Ind. Electron. & Mater. Sci., Tech. Univ. Wien, Austria","Instrumentation and Measurement Technology Conference, 2001. IMTC 2001. Proceedings of the 18th IEEE","21-23 May 2001","2001","1","","433","436 vol.1","Sensor systems based on capacitive or inductive measurement principles usually require sophisticated analog and digital signal processing. Particularly in automotive applications, a high degree of integration with as few external components as possible is desirable. We describe the design of an integrated angular speed sensor system based on a carrier frequency approach. To optimize the performance, we combined a synchronous demodulation strategy with an external resonance filter serving as clock reference and noise protection. The filter was extended by an additional low-pass easing implementation of the demodulator and compensating for internal signal delays. For system simulation, a simple analytical model based on Fourier synthesis was found to be superior to a conventional SPICE simulation","1091-5281","0-7803-6646-8","","10.1109/IMTC.2001.928855","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=928855","","Analytical models;Automotive applications;Clocks;Demodulation;Digital signal processing;Filters;Frequency;Protection;Resonance;Sensor systems","Fourier analysis;angular velocity measurement;automotive electronics;capacitive sensors;closed loop systems;compensation;demodulation;intelligent sensors;low-pass filters;passive filters;time-domain analysis","Fourier synthesis;analytical model;angular speed sensor;automotive application;capacitive sensor;carrier frequency approach;clock reference;closed loop system;external resonance filter;integrated angular sensor system;internal signal delay compensation;noise protection;passive filter;peak rectification;performance optimization;sensor system design;smart sensor;synchronous demodulation strategy;system simulation;time domain models","","","","4","","","","","20020807","21 May 2001-23 May 2001","IEEE","","IEEE Conference Publications"
"Modeling the thermal transients in automotive power ICs","Shekar, M. S.; Hartular, A.; Wrathall, B.; Williams, R.K.","Siliconix Inc., Santa Clara, CA, USA","Power Semiconductor Devices and ICs, 1996. ISPSD '96 Proceedings., 8th International Symposium on","20-23 May 1996","1996","","","223","226","This paper discusses the modeling of the thermal transient at the proximity of a dominant heat source in a 5 V Low Drop Out (LDO) regulator used in an automotive environment. The LDO regulator is designed using a 60 V BCD technology having a 2 μm-linewidth and dual layer metal interconnect. A SPICE circuit model using spherical spreading of heat through silicon is developed to predict the transient thermal behavior of the LDO regulator. Simulations indicate a 65 mV drop in the output regulated voltage for a power pulse of 1.4 W through the output power transistor and are in excellent agreement with that obtained from experiments. The design of the thermal generator and the effect of the thermal resistance and capacitance on the output regulated voltage are also discussed","1063-6854","0-7803-3106-0","","10.1109/ISPSD.1996.509486","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=509486","","Automotive engineering;Circuit simulation;Integrated circuit interconnections;Power integrated circuits;Predictive models;Regulators;SPICE;Silicon;Thermal resistance;Voltage","SPICE;automotive electronics;capacitance;circuit analysis computing;equivalent circuits;integrated circuit modelling;power integrated circuits;thermal analysis;thermal resistance;transient analysis;voltage regulators","1.4 W;2 micron;5 V;60 V;BCD technology;SPICE circuit model;Si;automotive power ICs;capacitance;dual layer metal interconnect;low drop out regulator;modeling;output power transistor;output regulated voltage;thermal resistance;thermal transients;transient thermal behavior","","","","0","","1","","","20020806","20 May 1996-23 May 1996","IEEE","","IEEE Conference Publications"
