"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=17&queryText%3Dautomotive+Saber",2014/02/11 19:39:10
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Combined device and system simulation for automotive application using SABER","Jingdong Chen; Downer, S.; Murray, A.; Guerra, A.; McDonald, T.","International Rectifier Co.","Power Electronics in Transportation, 2002","24-25 Oct. 2002","2002","","","99","104","For Automotive applications, device optimization requires both system and device level simulation in order to properly predict its performance and thermal response, especially in the case of adverse dynamic conditions. In this paper, the SABER model of IR??s power MOSFET IRFP2907 is validated in a half-bridge circuit using a low frequency two-pulse test. This model is then applied to simulate the performance of an inverter system. Simulation results accurately match the measurement. This work can be extended to evaluate power MOSFETs in other automotive applications such as ISA, EPAS and DC/DC conversion as well as IGBT and anti-parallel diodes in inverter switching applications.","","0-7803-7492-4","","10.1109/PET.2002.1185556","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1185556","MOSFET;Modeling;SABER;Simulation","Automotive applications;Circuit simulation;Circuit testing;Costs;Frequency;MOSFET circuits;Power MOSFET;Power system modeling;Predictive models;Vehicle dynamics","","","","","","3","","","","","20030320","","IEEE","","IEEE Conference Publications"
"Optimal design of a synchronous DC-DC converter using analytical models and a dedicated optimization tool","Larouci, C.; Didier, J. P.; Aldebert, A.; Bouquet, O.; Prost, A.; Vauchel, J.","Lab. Commande et Syst., Ecole Superieure des Tech. Aeronaut. et de Constr. Automobile, France","Industrial Electronics Society, 2003. IECON '03. The 29th Annual Conference of the IEEE","2-6 Nov. 2003","2003","2","","1623","1628 Vol.2","The aim of this paper is to present an optimization approach of static converters using analytical models and a dedicated tool. Indeed, tools like Saber, Pspice or Simplorer are effective means for the power electronics structure time-domain studies. However, if these structures have an ac input and a high switching frequency (various time scales), or if several aspect studies are taken into account, time-domain simulation becomes painful and expensive in memory and computing time. The study of electromagnetic compatibility (EMC) performances is also difficult because of the line impedance stabilizer network (LISN) time-constants which come to penalize the time-domain simulation. In addition, in sizing and optimization process, results in short computing times are needed, so the time-domain simulation may be too time consuming. In this way, the paper proposes to carry out a compromise between the model accuracy and the tool rapidness and recommends the use of analytical models to optimize the passive element volume of static converters by respecting EMC standards, by minimizing the whole dissipated losses (conduction and switching semiconductor losses, core and copper inductor losses, capacitor losses) and by constraining the semiconductor junction, the winding and the magnetic circuit temperatures. This optimization approach is applied to a 42 V-14 V dc-dc converter for the automotive domain (output power 1 kW). The developed optimization procedure is validated by numerical simulation and measures.","","0-7803-7906-3","","10.1109/IECON.2003.1280301","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1280301","","Analytical models;Computational modeling;Constraint optimization;DC-DC power converters;Design optimization;Electromagnetic compatibility;Impedance;Power electronics;Switching frequency;Time domain analysis","DC-DC power convertors;SPICE;electromagnetic compatibility;losses;optimisation;time-domain analysis","42 to 14 V;dedicated optimization tool;electromagnetic compatibility performances;line impedance stabilizer network;power electronics structure;static converters;synchronous DC-DC converter;time-constants;time-domain simulation","","","","3","","18","","","20040405","","IEEE","","IEEE Conference Publications"
"A new model architecture for customer software integration","Ruan, K.G.","Synopsys Inc., Hillsboro, OR, USA","Circuits and Systems, 2004. ISCAS '04. Proceedings of the 2004 International Symposium on","23-26 May 2004","2004","5","","V-636","V-639 Vol.5","Mixed-signal mixed-technology simulation increasingly being used in complex system design verification. Now, it has been adopted by many mixed-technology industries, including automotive and aerospace industries, for designing an electronic-control-unit (ECU). Micro-controllers are often used in ECUs for better features and performance. Design verification of micro-controller based ECUs is a significant challenge to simulation technology. A new model architecture is proposed in this paper. An embedded control system co-simulator, Saber(tm)MC, is under development based on this architecture. Simulation of an entire ECU can be performed with a set of intuitive commands. Software developer may use a debugger to debug the customer code while an entire ECU is being simulated. A brushless DC motor controller is used to illustrate the proposed model architecture and demonstrate that it fits in well in ECU design verification.","","0-7803-8251-X","","10.1109/ISCAS.2004.1329888","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1329888","","Application software;Computational modeling;Computer aided instruction;Computer architecture;Control systems;Embedded software;Embedded system;Pins;Software design;Software libraries","control systems;embedded systems;integrated software;microcontrollers;simulation","ECU simulation;Saber(tm)MC;aerospace industry;automotive industry;brushless DC motor controller;complex system designs;customer code debugging;customer software integration;debugger;design verification;electronic-control-unit design;embedded control system co-simulator;micro-controllers;mixed-signal simulation;mixed-technology simulation;simulation model architecture;simulation technology;software developer","","","","0","","","","","20040903","","IEEE","","IEEE Conference Publications"
"Radiated emissions from automotive multiplex bus wiring. The effects of offset voltage","Frazier, R.K.","Ford Motor Co., Dearborn, MI, USA","Electromagnetic Compatibility, 1994. Symposium Record. Compatibility in the Loop., IEEE International Symposium on","22-26 Aug 1994","1994","","","99","104","Testing has revealed that a multiplex communication network used in an automotive application is a source of radiated emissions. These emissions were found to cause degradation to reception in the automobile's entertainment radio. Further study revealed that the emissions were the result of common mode current transients brought about by the imbalance in the outputs of the bus differential drivers. The degree of imbalance was found to be affected by a number of parameters including the offset voltage (voltage drop) between modules communicating on the bus. A simple SABER model of the differential driver circuit and load is used to estimate the radiated emissions from the multiplex bus wiring due to voltage offset between two communicating modules. Comparisons of numerical and measured data are presented","","0-7803-1398-4","","10.1109/ISEMC.1994.385676","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=385676","","Automotive applications;Automotive engineering;Communication networks;Driver circuits;Pulse width modulation;Testing;Vehicles;Voltage;Wire;Wiring","automotive electronics;electric potential;electromagnetic interference;multiplexing;multiplexing equipment;radio receivers;radio reception;twisted pair cables;wiring","SABER model;automotive multiplex bus wiring;common mode current transients;differential driver circuit;differential twisted wire bus;load;multiplex communication network;offset voltage;radiated emissions;radio reception;testing","","","","1","","3","","","20020806","22 Aug 1994-26 Aug 1994","IEEE","","IEEE Conference Publications"
"New IGBTs and simulation models simplify automotive ignition system design","Donnelly, J.M.; Gauen, K.","Analogy, Inc., Beaverton, OR, USA","Power Electronics Specialists Conference, 1993. PESC '93 Record., 24th Annual IEEE","20-24 Jun 1993","1993","","","473","481","A new insulated gate bipolar transistor (IGBT) has been developed for automotive ignition system applications. The MGP20-N40CL features a low threshold voltage, an extended safe operating area and integrated protective voltage clamping. The device's model parameters were entered directly into the IGBT model of the Saber simulator. This model was verified by comparing simulation results with experimental resistive and inductive load switching transients and DC characteristics. An ignition coil and spark plug test set was also characterized, and simulation results match for both normal fire and open secondary conditions. Simulation results are also shown for the critical battery voltage transients of a complete ignition system at engine start-up","","0-7803-1243-0","","10.1109/PESC.1993.471972","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=471972","","Automotive engineering;Clamps;Coils;Ignition;Insulated gate bipolar transistors;Plugs;Protection;Sparks;Testing;Threshold voltage","automotive electronics;circuit analysis computing;electric ignition;insulated gate bipolar transistors;power semiconductor switches;power system transients;semiconductor device models","IGBT;MGP20-N40CL;Saber simulator;automotive ignition system design;battery voltage transients;engine start-up;extended safe operating area;ignition coil test;inductive load switching transients;insulated gate bipolar transistor;integrated protective voltage clamping;low threshold voltage;resistive load switching transients;simulation models;spark plug test","","","","1","","5","","","20020806","20 Jun 1993-24 Jun 1993","IEEE","","IEEE Conference Publications"
"Large signal stability analysis based on gyrator model with constant power load","Weijing Du; Junming Zhang; Yang Zhang; Zhaoming Qian; Fangzheng Peng","Coll. of Electr. Eng., Zhejiang Univ., Hangzhou, China","Power and Energy Society General Meeting, 2011 IEEE","24-29 July 2011","2011","","","1","8","Power electronic converters are widely used in advanced automobiles, especially in electrical vehicles (EVs). However, the stability analysis of the advanced automotive electrical systems which composed by multi-voltage level hybrid ac and dc systems is much complex than a single converter. In the system level, the downstream converter behaves as a constant power load (CPL) which shows negative incremental resistance and may cause negative impedance instability in the system. In addition, there is no general model for large signal stability analysis of nonlinear dynamical systems. In view of the above, this paper set up a reduced order large signal model for the step-down cascaded system first, and analyzes the stability of converters with CPL based on Lyapunov stability theory. Phase plane analysis and attraction region are presented to demonstrate the system stability. Key parameters are also analyzed in detail. The simulation results using Saber software confirm the theoretical analysis.","1944-9925","978-1-4577-1000-1","978-1-4577-1001-8","10.1109/PES.2011.6039057","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039057","Attraction region;Cascaded System;Constant Power Load (CPL);Current control;Electric Vehicles (EVs);Gyrator;Large Signal stability;Lyapunov's theory;Modeling;Negative impedance instability;Phase plane","Circuit stability;Gyrators;Integrated circuit modeling;Load modeling;Mathematical model;Power system stability;Stability analysis","Lyapunov methods;electric vehicles;gyrators;power convertors;power system stability","Lyapunov stability theory;Saber software;advanced automotive electrical systems;constant power load;downstream converter;electrical vehicles;gyrator model;incremental resistance;large signal stability analysis;multivoltage level hybrid ac-dc systems;negative impedance instability;phase plane analysis;power electronic converters","","","","1","","17","","","20111010","","IEEE","","IEEE Conference Publications"
"Dynamic model of a switched reluctance machine for use in a SABER based vehicular system simulation","Michon, M.; Calverley, S. D.; Powell, D.J.; Clark, R.E.; Howe, D.","Dept. of Electron. & Electr. Eng., Univ. of Sheffield, UK","Industry Applications Conference, 2005. Fourtieth IAS Annual Meeting. Conference Record of the 2005","2-6 Oct. 2005","2005","4","","2280","2287 Vol. 4","This paper describes a flexible modelling technique for the dynamic simulation of a switched reluctance machine employed in an automotive turbo-electric application to recuperate electrical energy. Due to the increasing numbers of electrically driven ancillaries and associated electrical load on the vehicle, a model which can be readily employed in a hierarchical system simulation of the vehicle electrical architecture, realised within the SABER environment, is required. The model allows comprehensive modelling of an extensive range of control strategies to be performed and appropriate switching control angles to be identified. Trade-off studies are performed in order to minimise global system losses while ensuring RMS and peak currents, and hence component ratings, are not excessive. The simulation is complemented using accurate iron loss calculations performed on a range of control conditions. A case study of a 70,000 rpm, 2.3 kW switched reluctance machine is presented.","0197-2618","0-7803-9208-6","","10.1109/IAS.2005.1518778","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1518778","","Automotive engineering;Circuit simulation;Electric vehicles;Engines;Reluctance generators;Reluctance machines;Strontium;Temperature;Vehicle driving;Vehicle dynamics","electric machine analysis computing;electric vehicles;losses;machine control;reluctance machines;turbogenerators","2.3 kW;RMS;SABER environment;automotive turbogenerator;dynamic simulation;electric vehicle architecture;global system losses;hierarchical system simulation;iron loss;root mean square;switched reluctance machine;switching control angle;vehicular system simulation","","","","5","","11","","","20051024","","IEEE","","IEEE Conference Publications"
"Multi domain behavioral models of smart-power ICs for design integration in automotive applications","Metzner, D.; Schafer, J.; Chihao Xu","Infineon Technol. AG, Munchen, Germany","Behavioral Modeling and Simulation, 2001. BMAS 2001. Proceedings of the Fifth IEEE International Workshop on","2001","2001","","","84","89","A modeling methodology for behavioral models of smart-power IC is presented. These components typically consist of a few hundred to thousand transistors, which can be separated into digital (logic) and analog (electro-thermal) model equations. The preferred simulation tool in the automotive industry is presently SABER (MAST<sup>(R)</sup> language). The resulting models enable system level simulations of the mechatronic application in a few minutes CPU time, compared to hours with a transistor level simulation of the IC alone","","0-7803-7291-3","","10.1109/BMAS.2001.962502","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=962502","","Application specific integrated circuits;Automotive applications;Equations;Integrated circuit modeling;Mechatronics;Power system modeling;Protection;Semiconductor optical amplifiers;Switches;Thermal stresses","automotive electronics;digital simulation;electronic design automation;mechatronics;power integrated circuits","MAST language;SABER;analog model equations;automotive applications;automotive industry;design integration;digital model equations;electrothermal model equations;logic model equations;multidomain behavioral models;simulation tool;smart-power IC;transistors","","","","3","","","","","20020807","10 Oct 2001-12 Oct 2001","IEEE","","IEEE Conference Publications"
"Load dump transient control of a 42 V automotive generator","Namuduri, C.S.; Murty, B.V.; Reynolds, M.G.","Gen. Motors R&D Labs., Warren, MI, USA","Power Electronics Specialists Conference, 2004. PESC 04. 2004 IEEE 35th Annual","20-25 June 2004","2004","1","","389","394 Vol.1","This paper describes the concept, design, modeling, simulation and performance of an innovative fast field regulator developed for a high-power 42 V automotive generator, to minimize the load-dump energy and improve its reliability. In laboratory tests, a 3 kW 42 V Lundell generator, with conventional field regulator, failed the load-dump transient test. This research analyzed the root cause of the failure by analyzing the load-dump energy, using SABER modeling and simulation, which have been verified by tests. Various concept alternatives for minimizing the load-dump energy have been identified and an innovative and cost-effective solution based on fast field control was selected for development of the proof-of-concept hardware. The proposed technique reduced the load-dump transient duration by more than a factor of 5, resulting in a reduction of load-dump energy by more than 75%. This eliminated the need for paralleling multiple avalanche diodes in the alternator rectifier bridge to handle the transient energy, resulting in a smaller package and increased reliability at a lower cost. The proposed fast field control can be further applied to minimize the load-dump transients in all belted alternator starters (BAS) that use a wound-field machine.","0275-9306","0-7803-8399-0","","10.1109/PESC.2004.1355776","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1355776","","Alternators;Analytical models;Automotive engineering;Diodes;Failure analysis;Hardware;Laboratories;Rectifiers;Regulators;Testing","alternators;automotive electronics;avalanche diodes;failure analysis;machine control;rectifiers;starting;voltage control;voltage regulators","3 kW;42 V;BAS;Lundell generator;SABER modeling;alternator rectifier bridge;automotive generator;belted alternator starter;cost-effective solution;fast field regulator;load-dump energy;load-dump transient test;multiple avalanche diodes;wound-field machine","","","","8","","12","","","20041115","","IEEE","","IEEE Conference Publications"
"Systematic approach of rapid prototyping for EC drives in automotive applications","Klonne, A.; Schmitt, G.; Jarvelainen, T.; Nipp, E.","Robert Bosch GmbH, Buehl, Germany","Power Electronics Specialists Conference, 2004. PESC 04. 2004 IEEE 35th Annual","20-25 June 2004","2004","3","","2245","2250 Vol.3","This paper describes the systematic approach towards rapid prototyping for the development of electronically commutated (EC) drives in automotive applications. The aims were to reduce development time as well as to offer a greater variability of possible drive solutions. For this purpose offline and online simulations are established for EC drives. For offline simulations an extensive library of permanent magnet synchronous machines has been developed featuring different electrical topologies and several levels of complexity in both Matlab and SABER. Also libraries of power inverters have been created with varying topologies including the correspondent control blocks. For online simulations dSPACE Prototyping hardware is used. As power converter a new highly modular inverter has been developed covering a broad range of EC drive applications. The rapid prototyping process has successfully been evaluated in practice. This enables the operation of EC drives at an early project stage without developing the corresponding electronic control units or handcoding software. Good results have been achieved in several concurrent projects where the development time could significantly be reduced.","0275-9306","0-7803-8399-0","","10.1109/PESC.2004.1355470","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1355470","","Application software;Automotive applications;Commutation;Hardware;Inverters;Libraries;Permanent magnet machines;Prototypes;Topology;Virtual prototyping","automotive electronics;commutation;electric drives;invertors;permanent magnet machines;power convertors;power engineering computing;rapid prototyping (industrial);synchronous machines","Matlab;SABER;automotive applications;dSPACE prototyping hardware;electrical topologies;electronic control units;electronically commutated drives;handcoding software;modular inverter;permanent magnet synchronous machines;power converter;power inverters;rapid prototyping","","","","0","","8","","","20041115","","IEEE","","IEEE Conference Publications"
