"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=279&queryText%3DAutomotive+Simulink",2014/02/11 19:42:28
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Efficient digital design for automotive mixed-signal ASICs using simulink","Mauderer, A.; Freier, M.; Oetjens, J.; Rosenstiel, W.","Automotive Electron., Robert Bosch GmbH, Reutlingen, Germany","Design and Diagnostics of Electronic Circuits & Systems (DDECS), 2012 IEEE 15th International Symposium on","18-20 April 2012","2012","","","372","377","In common design flows of mixed-signal ASICs, the transition from system-level models to implementation-level models is executed in a manual process that carries potential for an efficiency gain by automation. This contribution addresses this aspect by showing and discussing an approach for efficient automated transitions from digital parts of Simulink models representing heterogeneous systems to VHDL and Verilog descriptions. It describes a design flow, in which a Simulink model representing a digital part of a mixed-signal ASIC is checked and optimized for automated generation of design rule compliant and more efficient digital hardware implementations. For this purpose, modeling guidelines and optimizations were implemented and integrated into an easily usable graphical user interface. Thereby, the strategy is based on considering and optimizing the digital part with respect to the surrounding heterogeneous system. An evaluation of the presented design flow is shown by applying the flow to an automotive hardware design.","","978-1-4673-1187-8","978-1-4673-1186-1","10.1109/DDECS.2012.6219090","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6219090","","Application specific integrated circuits;Computational modeling;Guidelines;Hardware;Hardware design languages;Optimization;Timing","application specific integrated circuits;hardware description languages;integrated circuit design","VHDL;Verilog descriptions;automotive mixed-signal ASIC;efficient digital design;implementation-level models;simulink","","","","0","","13","","","20120618","","IEEE","","IEEE Conference Publications"
"A framework for early stage quality-fault tolerance analysis of embedded control systems","Vadlamudi, S.G.; Chakrabarti, P.P.; Das, D.; Sinha, P.","Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Kharagpur, Kharagpur, India","Dependable Systems & Networks (DSN), 2011 IEEE/IFIP 41st International Conference on","27-30 June 2011","2011","","","315","322","This work presents a static-analysis based method for analyzing the robustness of a given embedded control system design, in the presence of quality-faults in sensors, software components, and inter-connections. The method characterizes the individual components of the system by storing the relations between the precision of inputs and the precision of outputs in what we call, lookup tables (LUTs). A network of LUTs thus formed which represent the given control system is converted into a satisfiability modulo theory (SMT) instance, such that a satisfying assignment corresponds to a potential counterexample (the set of quality-faults which violate the given fault-tolerance requirements) or hot-spot in the design. Hot-spots obtained in this manner are counter-verified through simulation to filter the false-positives. Experimental results on the fault-tolerant fuel controller from Simulink automotive library demonstrate the efficacy of the proposed approach.","1530-0889","978-1-4244-9232-9","978-1-4244-9231-2","10.1109/DSN.2011.5958245","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5958245","embedded systems;fault injection;fault tolerant systems;quality faults;robustness","Degradation;Fault tolerance;Fault tolerant systems;Noise;Sensors;Table lookup;Trajectory","computability;control system synthesis;embedded systems;fault tolerant computing;interconnections;robust control;safety-critical software;table lookup","embedded control system design;fault-tolerant fuel controller;hot-spot;inter-connections;lookup tables;quality-fault tolerance analysis;satisfiability modulo theory;sensors;simulink automotive library;software components;static-analysis","","","","2","","14","","","20110718","","IEEE","","IEEE Conference Publications"
"Bridging algorithm and ESL design: Matlab/Simulink model transformation and validation","Zhang, Liyuan; Glab, Michael; Ballmann, Nils; Teich, Jurgen","Hardware/Software Co-Design, University of Erlangen-Nuremberg","Specification & Design Languages (FDL), 2013 Forum on","24-26 Sept. 2013","2013","","","1","8","Matlab/Simulink is today's de-facto standard for model-based design in domains such as control engineering and signal processing. Particular strengths of Simulink are rapid design and algorithm exploration. Moreover, commercial tools are available to generate embedded C or HDL code directly from a Simulink model. On the other hand, Simulink models are purely functional models and, hence, designers cannot seamlessly consider the architecture that a Simulink model is later implemented on. In particular, it is not possible to explore the different architectural alternatives and investigate the arising interactions and side-effects directly within Simulink. To benefit from Matlab/Simulink's algorithm exploration capabilities and overcome the outlined drawbacks, this work introduces a model transformation framework that converts a Simulink model to an executable specification, written in an actor-oriented modeling language. This specification then serves as the input of well-established Electronic System Level (ESL) design flows that, e. g., enables Design Space Exploration (DSE) and automatic code generation for both hardware and software. We also present a validation technique that considers the functional correctness by comparing the original Simulink model with the generated specification in a co-simulation environment. The co-simulation can also be used to evaluate the performance of implementation candidates during DSE. As case study, we present and investigate a torque vectoring application from an electric automotive vehicle.","1636-9874","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6646658","Actor-oriented Design;Code Generation;DSE;Matlab/Simulink;System-level Validation;SystemC","Computational modeling;Generators;Hardware;Mathematical model;Ports (Computers);Registers;Software packages","","","","","","0","","","","","20131028","","IEEE","","IEEE Conference Publications"
"A study of approaches for model based development of an automotive driver information system","Yue Guo; Jones, R.P.","Sch. of Eng., Univ. of Warwick, Coventry","Systems Conference, 2009 3rd Annual IEEE","23-26 March 2009","2009","","","267","272","Over the past decades, the use of electronic systems in automotive vehicles has grown exponentially. Automotive systems engineering requires a sustainable integration of new methods, development processes, and tools that are specifically adapted to the automotive domain. This paper describes two approaches to the development of an automotive electronic system via a case study involving the modelling and code generation of a driver information system. The first approach involves the use of the SysML based tool Artisan Studio whilst the second approach involves the use of the MATLAB tools Simulink and Stateflow. The paper compares the two approaches and summarizes the strengths and weaknesses of two approaches respectively. Conclusions are drawn on how to make use of the model based design to meet the challenges in the automotive industry.","","978-1-4244-3462-6","978-1-4244-3463-3","10.1109/SYSTEMS.2009.4815810","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815810","Simulink/Stateflow;SysML;architectural modelling;automotive systems;code generation;functional modelling","Automotive electronics;Automotive engineering;Driver circuits;Information systems;Instruments;MATLAB;Mathematical model;Product development;Systems engineering and theory;Vehicle driving","automotive electronics;driver information systems;software tools","Artisan Studio;MATLAB tools;Simulink;Stateflow;automotive driver information system;automotive electronic system;automotive systems engineering;model based development;the SysML based tool","","","","1","","11","","","20090417","","IEEE","","IEEE Conference Publications"
"Complete automotive electrical system design","Juchem, R.; Knorr, B.","Ansoft Corp., Pittsburgh, PA, USA","Vehicular Technology Conference, 2003. VTC 2003-Fall. 2003 IEEE 58th","6-9 Oct. 2003","2003","5","","3262","3266 Vol.5","The increasing complexity of electrical and electromechanical systems in vehicles has prompted significant new developments in the automotive industry. The design of these systems requires reliable simulation tools with comprehensive component libraries capable of dealing with complex, multi-domain systems. In addition, these systems should be able to integrate with the various stages of the design processes and support easy information exchange between suppliers and OEMs. This paper outlines the use of Ansoft's SIMPLORER design environment for automotive applications, with a focus on SIMPLORER's automotive component library and its usage cases. The automotive library contains a comprehensive list of electrical and mechanical component models that are typically used in on-board vehicle systems. These components range from fuses, lamps, wires, electrical machines and relays to electrochemical elements like fuel cells and batteries. Due to its open simulator coupling technology, the SIMPLORER simulation environment seamlessly integrates with existing design flows and other design tools like Simulink and ADVISOR. SIMPLORER's compliance with the IEEE standardized modeling language VHDL-AMS encourages new possibilities of model exchange between OEM and suppliers.","1090-3038","0-7803-7954-3","","10.1109/VETECF.2003.1286257","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1286257","","Automotive applications;Automotive components;Automotive engineering;Electromechanical systems;Fuses;Lamps;Libraries;Process design;Vehicles;Wires","CAD;IEEE standards;automobile industry;automotive electronics;hardware description languages;mechanical engineering computing;production engineering computing;software libraries","ADVISOR;Ansoft;IEEE standardized modeling language;SIMPLORER design environment;Simulink;VHDL-AMS standardized modeling language;automotive component library;automotive electrical system design;automotive industry;electrical component model;electrochemical element;mechanical component model;on-board vehicle system;open simulator coupling technology","","","","2","","","","","20040504","","IEEE","","IEEE Conference Publications"
"Slicing MATLAB Simulink models","Reicherdt, R.; Glesner, S.","Tech. Univ., Berlin, Germany","Software Engineering (ICSE), 2012 34th International Conference on","2-9 June 2012","2012","","","551","561","MATLAB Simulink is the most widely used industrial tool for developing complex embedded systems in the automotive sector. The resulting Simulink models often consist of more than ten thousand blocks and a large number of hierarchy levels. To ensure the quality of such models, automated static analyses and slicing are necessary to cope with this complexity. In particular, static analyses are required that operate directly on the models. In this article, we present an approach for slicing Simulink Models using dependence graphs and demonstrate its efficiency using case studies from the automotive and avionics domain. With slicing, the complexity of a model can be reduced for a given point of interest by removing unrelated model elements, thus paving the way for subsequent static quality assurance methods.","0270-5257","978-1-4673-1066-6","978-1-4673-1065-9","10.1109/ICSE.2012.6227161","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227161","Dependence Analysis;MATLAB;Simulink;Slicing","Analytical models;Context;Context modeling;Data models;Embedded systems;MATLAB;Switches","automotive engineering;avionics;digital simulation;embedded systems;graph theory;mathematics computing;quality assurance","MATLAB Simulink model slicing;automated static analysis;automotive sector;avionics domain;dependence graphs;embedded systems;industrial tool;static quality assurance methods","","","","1","","21","","","20120628","","IEEE","","IEEE Conference Publications"
"An Integrative Approach for Embedded Software Design with UML and Simulink","Farkas, T.; Neumann, C.; Hinnerichs, A.","Fraunhofer Inst. for Open Commun. Syst., Fraunhofer, Germany","Computer Software and Applications Conference, 2009. COMPSAC '09. 33rd Annual IEEE International","20-24 July 2009","2009","2","","516","521","The increased amount of software in automotive embedded systems has challenged its C code development to successfully manage software design, reuse, flexibility and efficient implementation. Model-based methods help to address such challenges with more abstract specification, code generation and simulation to determine if software design will meet requirements. However, in todaypsilas development processes lots of different legacy artifacts are involved, that hamper a frictionless migration from C code to model-based design. Therefore, migration concepts and adequate domain-specific methods with adoption of modeling languages and their tools in established embedded coding environments are needed. In our approach we present a novel migration concept considering the integration of two different modeling languages UML and Simulink in a traditional automotive software engineering process. The proof is demonstrated within the software development of a real automotive car door-controller ECU.","0730-3157","978-0-7695-3726-9","","10.1109/COMPSAC.2009.185","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5254079","Automotive;CAN;ECU;Embedded Software Design;Simulink;UML","Application software;Automotive engineering;Communication system software;Embedded software;Embedded system;Mathematical model;Programming;Signal processing;Software design;Unified modeling language","C language;Unified Modeling Language;automobile industry;automobiles;automotive components;control system synthesis;digital simulation;embedded systems;object-oriented methods;object-oriented programming;program compilers;software architecture;software development management;software reusability","C code generation;UML modeling language;abstract specification;automotive car door-controller ECU;automotive embedded software system design;automotive industry;automotive software engineering process;domain-specific method;embedded code-for-control unit;integrative approach;migration concept;object-based method;simulink control design;software component architecture;software development management process;software flexibility;software requirement;software reuse","","","","1","","24","","","20090922","","IEEE","","IEEE Conference Publications"
"Moving From Federated to Integrated Architectures in Automotive: The Role of Standards, Methods and Tools","Di Natale, M.; Sangiovanni-Vincentelli, A.L.","ReTiS Lab., Scuola Superiore Sant''Anna, Pisa, Italy","Proceedings of the IEEE","April 2010","2010","98","4","603","620","Cost pressure, flexibility, extensibility and the need for coping with increased functional complexity are changing the fundamental paradigms for the definition of automotive and aeronautics architectures. Traditional designs are based on the concept of a <i>Federated Architecture</i> in which integrated hardware/software components [Electronic Control Units (ECUs)] realize mostly independent or loosely interconnected functions. These components are connected by bus and cooperate by exchanging messages. This paradigm is now being replaced by the <i>Integrated Architecture</i>, - the concept comes from Integrated Modular Avionics (IMA) introduced by the avionics community (see C. B. Watkins and R. Walter, ?Transitioning from federated avionics architectures to integrated modular avionics?, in Proc. 26th Digital Avionics Syst. Conf., Oct. 2007) but it is certainly general and applicable to other fields and in particular, automotive - in which software components can be supplied from multiple sources, integrated on the same hardware platform or physically distributed and possibly moved from one CPU to another without loss of functional and time correctness and providing a guaranteed level of reliability. This shift will decouple software design from the hardware platform design and provide opportunities for the optimization of the architecture configuration, increased extensibility, flexibility and modularity. However, the integration of software components in a distributed system realizing a complex functional behavior and characterized by safety, time and reliability constraints requires a much tighter control on the component model and its semantics, new methods and tools for analyzing the results of the composition, whether by simulation or formal methods, and methods for exploring the architecture solution space and optimizing the configuration. We provide a general overview of existing challenges and possible solutions to the design and analysis problem, <i>with - - special focus on the automotive domain</i>. The development of such methods and tools must necessarily consider compatibility with existing modeling languages and standards, including UML, AUTOSAR and synchronous reactive models, on which the widely used commercial products Simulink and SCADE are based.","0018-9219","","","10.1109/JPROC.2009.2039550","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5440059","Architecture;automotive electronic system;automotive software;design methodology;design space exploration;system design","","automotive electronics;computational complexity;electronic engineering computing;reliability;software engineering","ECU;IMA;aeronautics architectures;architecture configuration;automotive architectures;cost pressure;distributed system;electronic control units;exchanging messages;extensibility;federated architectures;flexibility;functional complexity;functional correctness;fundamental paradigms;hardware components;hardware platform design;integrated architectures;integrated modular avionics;optimization;software components;synchronous reactive models;time correctness","","","","14","","70","","","20100329","","IEEE","IEEE","IEEE Journals & Magazines"
"Automatic integration of hardware descriptions into system-level models","Gorgen, R.; Oetjens, J.; Nebel, W.","OFFIS Inst. for Inf. Technol., Oldenburg, Germany","Design and Diagnostics of Electronic Circuits & Systems (DDECS), 2012 IEEE 15th International Symposium on","18-20 April 2012","2012","","","105","110","In this paper, we present a flow for integrating hardware descriptions into Simulink simulations. It enables the automatic generation of a Simulink component out of a hardware component model given as RT level VHDL. The approach is based on two steps. The first step transforms the VHDL model to SystemC. In contrast to existing VHDL-to-SystemC transformation tools, the readability and configurability of the input model is preserved. In addition, our approach yields a more exact model, as a custom designed VHDL-like data-type system is employed. The second step generates a specific wrapper to allow the use of the component in a Simulink simulation. This transformation strategy will be evaluated with two industrial automotive electronics hardware designs.","","978-1-4673-1187-8","978-1-4673-1186-1","10.1109/DDECS.2012.6219034","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6219034","","Abstracts;Arrays;Digital signal processing;Hardware;Hardware design languages;Standards;XML","hardware description languages","Simulink component;Simulink simulation;VHDL model;VHDL-to-SystemC transformation tools;automatic integration;configurability;hardware component model;hardware description;industrial automotive electronics hardware design;readability;specific wrapper;system level model","","","","1","","12","","","20120618","","IEEE","","IEEE Conference Publications"
"Robustness Analysis of Embedded Control Systems with Respect to Signal Perturbations: Finding Minimal Counterexamples Using Fault Injection","Vadlamudi, Satya Gautam; Chakrabarti, Partha Pratim","Indian Institute of Technology Kharagpur, Kharagpur","Dependable and Secure Computing, IEEE Transactions on","Jan.-Feb. 2014","2014","11","1","45","58","Fault-tolerance of embedded control systems is of great importance, given their wide usage in various domains such as aeronautics, automotive, medical, and so on. Signal perturbations such as small amounts of noise, shift, and spikes, can sometimes severely hamper the performance of the system, apart from complete failure of components and links. Finding minimal counterexamples (perturbations on the system leading to violation of fault-tolerance requirements) can be of great assistance to control system designers in understanding and adjusting the fault-tolerance behavior of the system. Fault injection is an effective method for dependability analysis of such systems. In this paper, we introduce the concept of dominating sets of perturbations, and define a minimal set of counterexamples called the basis. We propose effective methods using a simulation-based fault injection technique on Simulink models for finding the basis set at an early stage of design, given the fault specification and fault-tolerance requirements. Experimental results on two different control system examples from the Simulink automotive library demonstrate the efficacy of the proposed framework.","1545-5971","","","10.1109/TDSC.2013.23","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6523036","Robustness analysis;embedded control systems;fault injection;minimal counterexamples;monotonicity;quality-faults;signal perturbations","","","","","","","0","","40","","2013-06-04","20140205","","IEEE","IEEE Computer Society","IEEE Journals & Magazines"
