"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=37&queryText%3Dautomotive+systemc",2014/02/11 19:36:44
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Statistical modeling with SystemC-AMS for automotive systems","Markwirth, T.; Haase, J.; Einwich, K.","Design Autom. Devision, Fraunhofer Inst. for Integrated Circuits, Dresden","Specification, Verification and Design Languages, 2008. FDL 2008. Forum on","23-25 Sept. 2008","2008","","","247","248","This paper proposes a first attempt at describing statistical variation in system level models using SystemC-AMS. A statistical package of C++ functions for the use in SystemC-AMS is introduced. The method is based on the standard SAE J 2748.","","978-1-4244-2264-7","","10.1109/FDL.2008.4641458","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4641458","","Automotive engineering;Design automation;Distribution functions;Electronic circuits;Integrated circuit modeling;Integrated circuit packaging;Libraries;Production;Standards;Switches","C++ language;automotive engineering;electronic engineering computing;statistical analysis","C++ functions;SystemC-AMS;automotive systems;statistical modeling;statistical variation","","","","1","","4","","","20081010","","IEEE","","IEEE Conference Publications"
"SysCOLA: A framework for co-development of automotive software and system platform","Zhonglei Wang; Herkersdorf, A.; Haberl, W.; Wechs, M.","Lehrstuhl fur Integrierte Syst., Tech. Univ. Munchen, Munich, Germany","Design Automation Conference, 2009. DAC '09. 46th ACM/IEEE","26-31 July 2009","2009","","","37","42","A modeling language with formal semantics is able to capture a system's functionality unambiguously, without concerning implementation details. Such a formal language is well-suited for a design process that employs formal techniques and supports hardware/software synthesis. On the other hand, SystemC is a widely used system level design language with hardware-oriented modeling features. It provides a desirable simulation framework for system architecture design and exploration. This paper presents a design framework, called SysCOLA, that makes use of the unique advantages of both a new formal modeling language, COLA, and SystemC, and allows for parallel development of application software and system platform. In SysCOLA, function design and architecture exploration are done in the COLA based modeling environment and the SystemC based virtual prototyping environment, respectively. Our concepts of abstract platform and virtual platform abstraction layer facilitate the orthogonalization of functionality and architecture by means of mapping and integration in the respective environments. As SysCOLA is targeted at the automotive domain, the whole design approach is showcased using a case study of designing an automotive system.","0738-100X","978-1-6055-8497-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5227204","COLA;System modeling;SystemC;Virtual prototyping","Application software;Automotive engineering;Computer architecture;Embedded system;Hardware;Modeling;Permission;Process design;Software systems;Virtual prototyping","automotive engineering;formal specification;hardware-software codesign;software architecture;software prototyping;specification languages;traffic engineering computing;virtual prototyping","SysCOLA;SystemC;application software;automotive software development;formal language;formal semantics;formal techniques;hardware-oriented modeling;hardware-software synthesis;modeling language;parallel development;system architecture design;system architecture exploration;system functionality;system level design language;system platform development;virtual platform abstraction layer;virtual prototyping","","","","0","","16","","","20090828","","IEEE","","IEEE Conference Publications"
"Verification of a CAN bus model in SystemC with functional coverage","Defo, G.B.; Kuznik, C.; Muller, W.","Fac. of Electr. Eng., Comput. Sci. & Math., Univ. of Paderborn, Paderborn, Germany","Industrial Embedded Systems (SIES), 2010 International Symposium on","7-9 July 2010","2010","","","28","35","Many heterogeneous embedded systems, for example industrial automation and automotive applications, require hard-real time constraints to be exhaustively verified - which is a challenging task for the verification engineer. To cope with complexity, verification techniques working on different abstraction levels are best practice. SystemC is a versatile C++ based design and verification language, offering various mechanisms and constructs required for embedded systems modeling. Using the add-on SystemC Verification Library (SCV) elemental constrained-random stimuli techniques may be used for verification. However, SCV has several drawbacks such as lack of functional coverage. In this paper we present a functional coverage library that implements parts of the IEEE 1800-2005 SystemVerilog standard and allows capturing functional coverage throughout the design and verification process with SystemC. Moreover, we will demonstrate the usability of the approach with a case study working on a CAN bus model written in SystemC.","","978-1-4244-5839-4","978-1-4244-5840-0","10.1109/SIES.2010.5551379","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5551379","","Adaptation model;Computational modeling;Driver circuits;Generators;Libraries;Monitoring;Transfer functions","controller area networks;embedded systems;hardware description languages;program verification","C++ based design;CAN bus model verification;SystemC verification library;constrained random stimuli technique;functional coverage library;hard real time constraint;heterogeneous embedded system;system Verilog standard;verification engineer;verification language","","","","1","","15","","","20100819","","IEEE","","IEEE Conference Publications"
"Evaluation of a refinement-driven systemC™-based design flow","Schubert, T.; Hanisch, J.; Gerlach, J.; Appell J-E; Nebel, W.","OFFIS Res. Inst., Oldenburg, Germany","Design, Automation and Test in Europe Conference and Exhibition, 2004. Proceedings","16-20 Feb. 2004","2004","3","","262","267 Vol.3","This paper describes the experiences and results that were made with a systemC-based design flow for the implementation of an automotive digital hardware design. We present the refinement process starting from an initial high-level executable specification in C++ via systemC down to a gate-level description. We compare the synthesis results of the systemC-based system-level design flow with those from a traditional VHDL-based register-transfer level design flow in terms of efficiency and simulation performance.","1530-1591","0-7695-2085-5","","10.1109/DATE.2004.1269245","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1269245","","Automatic testing;Design automation;Europe;System testing","high level languages;specification languages","VHDL based register transfer level design flow;automotive digital hardware design;gate level description;hardware description languages;high level executable specification;refinement driven systemC™ based design flow;refinement process","","","","0","","5","","","20040308","","IEEE","","IEEE Conference Publications"
"Verification of Temporal Properties in Automotive Embedded Software","Lettnin, D.; Nalla, P.K.; Ruf, J.; Kropf, T.; Rosenstiel, W.; Kirsten, T.; Schonknecht, V.; Reitemeyer, S.","Dept. of Comput. Eng., Univ. of Tubingen, Tubingen","Design, Automation and Test in Europe, 2008. DATE '08","10-14 March 2008","2008","","","164","169","The amount of software in embedded systems has increased significantly over the last years and, therefore, the verification of embedded software is of fundamental importance. One of the main problems in embedded software is to verify variables and functions based on temporal properties. Formal property verification using model checker often suffers from the state space explosion problem when a large software design is considered. In this paper, we propose two new approaches to integrate assertions in the verification of embedded software using simulation-based verification. Firstly, we extended a SystemC hardware temporal checker with interfaces in order to monitor the embedded software variables and functions that are stored in a microprocessor memory model. Secondly, we derived a SystemC model from the original C program in order to integrate directly with the SystemC temporal checker. We performed a case study on an embedded software from automotive industry which is responsible for controlling read and write requests to a non-volatile memory.","","978-3-9810801-3-1","978-3-9810801-4-8","10.1109/DATE.2008.4484680","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4484680","","Automotive engineering;Embedded software;Embedded system;Explosions;Hardware;Microprocessors;Monitoring;Software design;Software systems;State-space methods","automobile industry;automotive electronics;embedded systems;formal verification;microprocessor chips;temporal logic;traffic engineering computing","SystemC hardware temporal checker;automotive embedded software;automotive industry;embedded systems;formal property verification;microprocessor memory model;model checker;nonvolatile memory;simulation-based verification;software temporal properties;software verification;state space explosion problem","","","","3","","17","","","20080411","","IEEE","","IEEE Conference Publications"
"Using analog circuit behavior to generate SystemC events for an acceleration of mixed-signal simulation","Hoelldampf, S.; Zaum, D.; Olbrich, M.; Barke, E.","Inst. of Microelectron. Syst., Leibniz Univ. Hannover, Hannover, Germany","Computer Design (ICCD), 2011 IEEE 29th International Conference on","9-12 Oct. 2011","2011","","","108","112","Analysis of mixed-signal circuits on system level demands for an accelerated simulation of analog blocks. We precompute state space representations that can be used to evaluate the circuit response and predict the occurrence of events triggered by analog components. Interfacing such models to SystemC digital simulation allows for very fast mixed-signal transient analysis. The key contribution of this paper is the dynamic generation of SystemC events from analog descriptions. We evaluate the performance of our approach using PWM (pulse width modulation) example circuits from the automotive domain which are interfaced to a SystemC microcontroller model. Accuracy and speed is compared to reference simulations utilizing traditional SPICE-like analog simulators. Our approach allows for a speedup of up to 70 for mixed-signal simulations compared to traditional analog and digital simulators.","1063-6404","978-1-4577-1953-0","","10.1109/ICCD.2011.6081384","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6081384","","Analytical models;Computational modeling;Integrated circuit modeling;Kernel;Mathematical model;Runtime;Simulation","digital simulation;microcontrollers;mixed analogue-digital integrated circuits;transient analysis","PWM example circuit;SPICE-like analog simulator;SystemC digital simulation;SystemC event generation;SystemC microcontroller model;analog block accelerated simulation;analog circuit behavior;analog simulator;automotive domain;circuit response;digital simulator;mixed-signal accelerated simulation;mixed-signal circuit analysis;mixed-signal transient analysis;state space representation","","","","1","","11","","","20111117","","IEEE","","IEEE Conference Publications"
"Observability Checking to Enhance Diagnosis of Real Time Electronic Systems","Khlif, M.; Shawky, M.","Heudiasyc UMR 6599, Univ. de Technol. de Compiegne, Compiegne","Distributed Simulation and Real-Time Applications, 2008. DS-RT 2008. 12th IEEE/ACM International Symposium on","27-29 Oct. 2008","2008","","","69","74","This paper describes a new property checking approach in order to enhance the diagnosis ability of an electronic embedded system, included in an automotive application. We consider functional diagnosis that is not necessarily oriented towards electronic components, and may result from flaws in the design process. The idea is, at the highest levels of the design procedure, to be able to assess the observability degree of the aimed system. Our approach is based on the analysis of the system simulation results. It allows checking the observability property in a real time electronic system in order to improve its diagnosis capacity.To reach this objective, we have set up an iterative modeling process. The model of the real time electronic system represents the input for the simulation step, which precedes the property checking. It is possible to model the system in two different ways: either with a combined architectural and functional modeling using SystemC, or solely functional modeling using Matlab/Simulink. Then, we check the observability property of the system, if it is not verified, our contribution consists in adding a feedback to the modeling step to improve the model. Otherwise, we validate the result through a test in an electronic automotive platform using as input the Simulink model used for the simulation step.","1550-6525","978-0-7695-3425-1","","10.1109/DS-RT.2008.18","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4700105","Observability;co-simulation;comodeling;property checking;real time system diagnosis","Analytical models;Automotive applications;Electronic components;Electronic equipment testing;Embedded system;Feedback;Mathematical model;Observability;Process design;Real time systems","electronic engineering computing;iterative methods;mathematics computing;observability","Matlab-Simulink;SystemC;electronic embedded system;iterative modeling process;observability checking;property checking;real time electronic system diagnosis","","","","2","","23","","","20081208","","IEEE","","IEEE Conference Publications"
"Automatic integration of hardware descriptions into system-level models","Gorgen, R.; Oetjens, J.; Nebel, W.","OFFIS Inst. for Inf. Technol., Oldenburg, Germany","Design and Diagnostics of Electronic Circuits & Systems (DDECS), 2012 IEEE 15th International Symposium on","18-20 April 2012","2012","","","105","110","In this paper, we present a flow for integrating hardware descriptions into Simulink simulations. It enables the automatic generation of a Simulink component out of a hardware component model given as RT level VHDL. The approach is based on two steps. The first step transforms the VHDL model to SystemC. In contrast to existing VHDL-to-SystemC transformation tools, the readability and configurability of the input model is preserved. In addition, our approach yields a more exact model, as a custom designed VHDL-like data-type system is employed. The second step generates a specific wrapper to allow the use of the component in a Simulink simulation. This transformation strategy will be evaluated with two industrial automotive electronics hardware designs.","","978-1-4673-1187-8","978-1-4673-1186-1","10.1109/DDECS.2012.6219034","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6219034","","Abstracts;Arrays;Digital signal processing;Hardware;Hardware design languages;Standards;XML","hardware description languages","Simulink component;Simulink simulation;VHDL model;VHDL-to-SystemC transformation tools;automatic integration;configurability;hardware component model;hardware description;industrial automotive electronics hardware design;readability;specific wrapper;system level model","","","","1","","12","","","20120618","","IEEE","","IEEE Conference Publications"
"Holistic modeling of embedded systems with multi-discipline feedback: Application to a Precollision Mitigation Braking System","Leveque, A.; Pecheux, F.; Louerat, M.; Aboushady, H.; Cenni, F.; Scotti, S.; Massouri, A.; Clavier, L.","LIP6, Univ. Pierre et Marie Curie, Paris, France","Design, Automation & Test in Europe Conference & Exhibition (DATE), 2012","12-16 March 2012","2012","","","739","744","The paper presents the principles, techniques and tools for the efficient modeling and simulation, at the component level, of an heterogeneous system composed of Wireless Sensor Network nodes that exhibits complex multi-discipline feedback loops that are likely to be found in many state-of-the-art applications such as cyber-physical systems. A Precollision Mitigation Braking System (PMBS) is used as a pragmatic case study to validate the whole approach. The component models presented (60 GHz communication channel, QPSK RF transceiver, CMOS video sensor, digital microcontroller, simplified car kinetic engine) are written in SystemC and its analog Mixed-Signal extensions, SystemC-AMS, and belong to five distinct yet highly interwoven disciplines: newtonian mechanics, op to-electronics, analog RF, digital and embedded software. The paper clearly exhibits the complex multi-discipline feed- back loop of this automotive application and the related model composability issues. Using the opto-electrical stimulus and the received RF inter-vehicle data, a car is able to exploit its environmental data to autonomously adjust its own velocity. This adjustment impacts the physical environment that in turns modifies the RF communication conditions. Results show that this holistic first-order virtual prototype can be advantageously used to jointly develop the final embedded software and to refine any of its hardware component part.","1530-1591","978-1-4577-2145-8","","10.1109/DATE.2012.6176567","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6176567","","Embedded software;Kinetic theory;Radio frequency;Transceivers;Vehicles;Wireless sensor networks","automotive engineering;braking;embedded systems;mechanical engineering computing;mobile communication;optoelectronic devices;quadrature phase shift keying;radio transceivers;wireless sensor networks","RF inter-vehicle data;SystemC;SystemC-AMS;analog RF;analog mixed-signal extensions;automotive application;complex multidiscipline feedback loops;component models;composability issues;cyber-physical systems;digital software;embedded software;embedded systems;heterogeneous system;holistic first-order virtual prototype;holistic modeling;newtonian mechanics;opto-electrical stimulus;opto-electronics;precollision mitigation braking system;wireless sensor network nodes","","","","0","","","","","20120403","","IEEE","","IEEE Conference Publications"
"Evaluation of an object-oriented hardware design methodology for automotive applications","Bannow, N.; Haug, K.","Autom. Electron. - Driver Assistance Syst., Robert Bosch GmbH, Stuttgart, Germany","Design, Automation and Test in Europe Conference and Exhibition, 2004. Proceedings","16-20 Feb. 2004","2004","3","","268","273 Vol.3","In this paper we present results in using the new object-oriented design approach OSSS (ODETTE system synthesis subset). The methodology and tools of the ODETTE (object-oriented co-design and functional test techniques) project have been developed within the context of the IST programme of the European Commission. Main focus of OSSS lies in the field of hardware design and in synthesis capability. The strategy is based on an extension of the synthesizable subset of standard systemC. The approach supports real object-oriented and synthesizable design features like classes, inheritance, templates, polymorphism and global object access. Therefore OSSS promises high efficiency in sense of capability to handle complex designs, faster development time, improved code quality and faster time to market. In contrast, standard systemC is also based on C++ constructs, but no object-oriented constructs are available yet for a synthesizable system description. We have evaluated OSSS on an automotive design example. It was chosen for the implementation of a component that is part of all video projects: A camera's exposure control unit (ExpoCU). The first main goal that was achieved is a synthesizable design by the automatic generation of an FPGA netlist from an OSSS description. Furthermore we have also proved the methodology to fulfill industrial requirements such as usability for complex system development, integration of existing IP, improved code quality and decreased development effort. Comparison will be done against existing VHDL based design flow. We especially focus on the implementation and testability by comparing the new object-oriented synthesis approach with a standard VHDL flow by laying emphasis on synthesizability. OSSS and equivalent kinds of methodology show a large potential to handle new generations of complex HW-SW systems. Moreover the gap between increasing design complexity and available methodologies already now gets bigger and bigger and thus needs to be closed by new solutions such as OSSS.","1530-1591","0-7695-2085-5","","10.1109/DATE.2004.1269247","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1269247","","Automatic control;Automotive applications;Automotive engineering;Control system synthesis;Design methodology;Electrical equipment industry;Field programmable gate arrays;Hardware;Testing;Time to market","C++ language;field programmable gate arrays;hardware description languages;hardware-software codesign;object-oriented methods","C++ constructs;FPGA netlist;ODETTE system synthesis subset;VHDL based design flow;automotive design;cameras exposure control unit;complex system development;field programmable gate array;global object access;hardware description languages;object oriented codesign and functional test techniques;object oriented hardware design;polymorphism;standard systemC","","","","0","","14","","","20040308","","IEEE","","IEEE Conference Publications"
