"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=91&queryText%3Dautomotive+uml",2014/02/11 19:36:18
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"A modeling approach for development of an automotive AMT ECU software with UML-RT","Hongbo Liu; Yulong Lei; Jianguo Zhang","State Key Lab. of Automobile, Jilin Univ., Changchun, China","Software Engineering and Data Mining (SEDM), 2010 2nd International Conference on","23-25 June 2010","2010","","","91","96","Over the past decades, the amount of automotive ECUs (Electronic Control Units) is increasing at a breathtaking pace. Accordingly, the size and complexity of ECU software also increased, and these give rise to various challenges to automotive software engineers. They need a new approach and tools to meet these challenges. Model-Based development is a choice. This paper presents a model-based design approach for the development of AMT (Automated Manual Transmission) ECU software using UML-RT language in automotive domain. UML-RT is a modeling language tailored to the demands of real-time software. The paper shows the methods and process on modeling functional and architectural model using UML-RT key diagram. Conclusions are drawn on how these models helps the different developers visualize, construct, and discuss together the structure and behavior of software's architecture.","","978-1-4244-7324-3","978-89-88678-22-0","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5542946","ECU Software;Model-Based;UML-RT;automotive engineering;software modeling","Actuators;Application software;Automatic control;Automotive engineering;Driver circuits;Embedded software;Gears;Object oriented modeling;Unified modeling language;Vehicles","","","","","","0","","11","","","20100809","","IEEE","","IEEE Conference Publications"
"UML-based modeling approach for automotive system development","Win-Bin See","Aerosp. Ind. Dev. Co., Taichung","Industrial Technology, 2005. ICIT 2005. IEEE International Conference on","14-17 Dec. 2005","2005","","","448","452","Automotive industry has been integrating growing number of buses and electrical control units (ECU) into the vehicle to cope with the stringent emission and fuel consumption regulations, and to improve driving safety and comfort. The fast evolving electronics hardware and software technologies complicate the system design effort even further. To cope with trend in integrating complex embedded software into modern vehicles, we propose an UML-based automotive system object (ASO) software environment to support the vehicle system integrator in developing their vehicle electronics system. To the specific ECU provider, ASO environment provides the vehicle system model as a whole with constituent models to support the ECU designer in assessing ECU collaboration with other components of the vehicle","","0-7803-9484-4","","10.1109/ICIT.2005.1600680","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1600680","UML;automotive electronics;embedded real-time system;object-oriented system","Automotive engineering;Electrical equipment industry;Electrical safety;Embedded software;Fuels;Hardware;Industrial control;Software systems;Vehicle driving;Vehicle safety","Unified Modeling Language;automobiles;automotive electronics;electronic engineering computing;embedded systems","UML-based automotive system object software environment;automotive industry;automotive system development;driving safety improvement;electrical control units;electronics hardware;fuel consumption regulations;software technologies;unified modeling language;vehicle electronics system","","","","0","","16","","","20060306","","IEEE","","IEEE Conference Publications"
"Model-driven requirements validation for automotive embedded software using UML","Kwan-Hyung Lee; Pan-Gi Min; Ju-Hyung Cho; Dong-Jin Lim","Dept. of Electron. & Syst. Eng., Hanyang Univ., Ansan, South Korea","Computing Technology and Information Management (ICCM), 2012 8th International Conference on","24-26 April 2012","2012","1","","46","50","Nowadays, A lot of effects are making a change in how the automotive field develops software. Some of these effects include: growing complexity of the embedded software; increasing amount of software in the vehicle; limited resources of development period, manpower, money; and the emergency of software-driven safety-critical systems. However, since all works including the communication about design, data, constraint, performance between supplier and original equipment manufacturer (OEM) are only document-driven, such document-driven development (DDD) process has some intrinsic problems. Obscure specification may generate errors and misunderstandings and so on. In this paper, the model-driven software development process is realized and that for a body control module (BCM) is demonstrated to verify and validate automotive embedded software requirements for solving these problems without any additional cost and equipments.","","978-1-4673-0893-9","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6268468","BCM (Body Control Module);Model-driven;Requirement validation;UML(Unified Modeling Language)","Automotive engineering;Embedded software;Monitoring;Programming;Timing;Unified modeling language","Unified Modeling Language;automotive engineering;program verification;safety-critical software","DDD;OEM;UML;automotive embedded software;automotive embedded software requirements;body control module;document-driven development process;growing complexity;model-driven requirements validation;obscure specification;original equipment manufacturer;software-driven safety-critical systems","","","","0","","8","","","20120816","","IEEE","","IEEE Conference Publications"
"Automotive electronics system, software, and local area network","Furukawa, Y.; Kawamura, S.","Shibaura Inst. of Technol., Saitama","Hardware/Software Codesign and System Synthesis, 2006. CODES+ISSS '06. Proceedings of the 4th International Conference","22-25 Oct. 2006","2006","","","2","2","In this tutorial, an overview of automotive electronic systems and details of the development methodologies are presented. Automobiles were born to enhance human mobile performance. In early development stage, automotive engineers focused to strengthen automobile engine power. Afterwards, automobiles had enough function to drive faster than any animal, but they caused some social problems such as traffic accidents, environmental problems and traffic congestions. Automotive electronic technologies have been developed in order to solve these social problems. Roles of electronic technologies on automobile functional developments For the solution to safely, environment and traffic problems, various functions are necessary which could not be completed only by mechanical systems. In this section, roles of automobile electronic systems on countermeasures to the social problems are discussed. Vehicle motion control systems, power-train control systems, navigation systems, and advanced drive assist systems are introduced and automotive functions are defined. Design requirement for automotive electronic systems architecture Electronic systems composed basically of sensors, ECU's (Electronic Control Units), actuators and human interfaces. In early days, each electronic system was designed independently. Today's automobile has various functions which could be completed by multiple electric systems. Therefore, fundamental architecture of integrated electronic systems in an automobile is important to be designed in order to optimize the total function, cost and productivity. Design and development procedure of electronic systems and software In vehicle systems and software, required functions and complexity of products are increasing. In this situation, ECU suppliers are working with efficient development methodology to achieve the highest quality. Today most common development processes are still classical V shaped process, module design and C language programming. However, se- - veral new technologies such as UML design method are tried and some of them are adopted as the standard process. Automatic testing and simulation environment are also important for the development procedure. Automotive Local Area Network Recently more and more automotive equipment are controlled electronically and the number of ECU's is increasing. The number of wire harnesses is also increasing and many problems such as the increase of weight, lack of installation space and difficulty of handling are experienced. As the solution of these problems, multiplexing with automotive Local Area Network is important to secure high speed communication as well as to decrease the weight and volume of wire harnesses. We will review technologies of automotive Local Area Network from CAN and LIN, which are currently de facto standards, to FlexRay that is about to start being adopted.","","1-59593-370-0","1-59593-370-0","10.1145/1176254.1176256","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4278480","automotive electronics","Automobiles;Automotive electronics;Automotive engineering;Control systems;Humans;Local area networks;Motion control;Software systems;Space technology;Wire","automotive electronics;engines;local area networks;motion control;velocity control","C language programming;UML design method;advanced drive assist systems;automobile engine power;automotive electronic software;automotive electronic system;automotive local area network;electronic control units;human interfaces;mechanical systems;navigation systems;power train control systems;social problems;vehicle motion control systems;wire harnesses","","","","0","","","","","20070730","","IEEE","","IEEE Conference Publications"
"A dynamic assertion-based verification platform for UML statecharts over rhapsody","Banerjee, A.; Ray, S.; Dasgupta, P.; Chakrabarti, P.P.; Ramesh, S.; Vignesh, P.; Ganesan, V.","Dept. of Comput. Sc.& Eng., IIT Kharagpur, Kharagpur","TENCON 2008 - 2008 IEEE Region 10 Conference","19-21 Nov. 2008","2008","","","1","6","For quite some time, the Unified Modeling Language (UML) has been adopted by designers of safety critical control systems such as automotive and aviation control. This has led to an increased emphasis on setting up a validation flow over UML that can be used to guarantee the correctness of UML models. In this paper, we propose a dynamic Assertion-based verification (ABV) framework for validation of UML Statecharts over the Rhapsody platform of I-logix. We present an extension of Linear Temporal Logic (LTL), named Action-LTL that allows assertions to be specified over data attributes and events of UML models. We present a methodology for automatic generation of Rhapsody Statecharts from Action-LTL specifications. These generated Statecharts are added as simulation observers to an existing UML model to detect specification violations during simulation. In view of the capacity limitations of existing formal assertion-based verification tools, we believe that our methods are of immediate practical value to the UML-based design community.","","978-1-4244-2408-5","978-1-4244-2409-2","10.1109/TENCON.2008.4766503","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4766503","","Application software;Automata;Automotive engineering;Control system synthesis;Hardware design languages;Software safety;Specification languages;State-space methods;Unified modeling language;Vehicle dynamics","Unified Modeling Language;formal specification;program verification;temporal logic","I-logix Rhapsody platform;UML statechart;Unified Modeling Language;action-LTL specification;data attribute;dynamic assertion-based verification platform;linear temporal logic","","","","0","","12","","","20090127","","IEEE","","IEEE Conference Publications"
"Pattern based methodology for UML profiles evolution management","Lakhal, F.; Dubois, H.; Rieu, D.","CEA, LIST, Gif-sur-Yvette, France","Research Challenges in Information Science (RCIS), 2013 IEEE Seventh International Conference on","29-31 May 2013","2013","","","1","12","UML profiles are a frequently used alternative to describe the abstract syntax of modeling languages. As any abstract syntax, UML profiles evolve through time. As UML profiles are used for models definition, their evolutions may have a direct impact on them. The adaptation costs of these models may be as important as redefining a complete new model from scratch. In this paper, we deal with reducing the cost of models adaptation fitting the conducted evolution of the UML profiles. We want to offer a pattern-based solution to recurrent evolution problems. So, we specify evolution patterns in four aspects: the sequence of change operations needed to describe an evolution, the classification according to the evolution impact, a reusable solution for each category and, finally, the relations towards other evolution patterns. This paper is illustrated on standard UML profiles used in the automotive domain.","2151-1349","978-1-4673-2912-5","","10.1109/RCIS.2013.6577681","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6577681","UML profile evolution;change analyze;change operationalization;classification;evolution patterns","Adaptation models;Automotive engineering;Biological system modeling;Context;Ports (Computers);Standards;Unified modeling language","Unified Modeling Language;evolutionary computation","UML profile evolution management;abstract syntax;evolution pattern;modeling language;pattern based methodology","","","","0","","21","","","20130815","","IEEE","","IEEE Conference Publications"
"From UML Statecharts to LOTOS: A Semantics Preserving Model Transformation","Chimisliu, V.; Schwarzl, C.; Peischl, B.","Inst. for Software Technol., Techn. Univ. Graz, Graz, Austria","Quality Software, 2009. QSIC '09. 9th International Conference on","24-25 Aug. 2009","2009","","","173","178","A well-founded testing theory encourages the practical application of test case generation techniques. This aims at overcoming the ever increasing complexity of software-enabled systems in the automotive industry. In this article we report on transforming UML Statecharts to the formal language LOTOS. The successful usage of UML Statecharts in our industrial setting and the availability of mature research prototypes for test case generation supporting LOTOS suggest this transformation. Our transformation manages to preserve the semantics of the UML Statechart, allows for treatment of UML-like events, addresses the communication between various models and likewise preserves the atomicity of transitions in the UML Statechart. Moreover, we present first results on the test case generation for our industrial application.","1550-6002","978-1-4244-5912-4","","10.1109/QSIC.2009.31","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5381478","LOTOS;UML Statechart;test case generation","Application software;Automatic testing;Automotive engineering;Buffer storage;Computer industry;Formal specifications;Prototypes;Software quality;Unified modeling language;Vehicles","Unified Modeling Language;automobile industry;formal languages;program testing;programming language semantics","LOTOS;UML statecharts;automotive industry;formal language;semantics preserving model transformation;software-enabled systems;testing theory","","","","1","","11","","","20100115","","IEEE","","IEEE Conference Publications"
"Mapping data models of the standardized automotive testing data storage to the unified modeling language","Bartz, R.","Inst. of Commun. Eng., Cologne Univ. of Appl. Sci., Cologne, Germany","Industrial Technology (ICIT), 2013 IEEE International Conference on","25-28 Feb. 2013","2013","","","1327","1332","This paper describes an approach to combine standards specified for the automotive test data management with the widely used Unified Modeling Language (UML). The major challenges in the automotive test data management domain include coping with a huge amount of data produced, considering their long lifetime, and trying to re-use as much as possible of the already acquired knowledge. For this purpose the automotive standards organization ASAM (Association for Standardization of Automation and Measuring Systems) has specified a storage standard called Open Data Services (ODS), which allows users to design data models fitted to their specific needs while keeping general classification information for generic use. On the other hand, object oriented concepts have evolved in the software technology domain, and UML has emerged as the most important standard to specify software-based systems. Given the similarities between the goals of ODS and aspects of UML that describe the static parts of a software system, this paper proposes a mapping between these two technologies.","","978-1-4673-4567-5","978-1-4673-4568-2","10.1109/ICIT.2013.6505865","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6505865","ASAM;UML;automotive testing;data model;meta model;model mapping;standards","","Unified Modeling Language;automotive engineering;data models;object-oriented methods;software reusability;storage management;testing","ASAM automotive standard organization;Association-for-Standardization-of-Automation-and-Measuring Systems;ODS storage standard;Open Data Services;UML;Unified Modeling Language;automotive test data management domain;classification information;data model mapping;design data models;object oriented concepts;software technology domain;software-based systems;standardized automotive testing data storage","","","","0","","8","","","20130422","","IEEE","","IEEE Conference Publications"
"Integrating informal and formal approaches to requirements modeling and analysis","Cheng, B. H C; Campbell, L.A.","Dept. of Comput. Sci. & Eng., Michigan State Univ., East Lansing, MI, USA","Requirements Engineering, 2001. Proceedings. Fifth IEEE International Symposium on","2001","2001","","","294","295","The Unified Modeling Language (UML) comprises several different notations for object-oriented modeling with no formal semantics attached to the individual diagrams. We have developed a generic framework for formalizing a subset of UML diagrams in terms of various formal languages, with a focus on embedded systems. We have formalized UML in terms of Promela, thus enabling analysis of the UML diagrams by the SPIN model checker and simulator. We have also developed a number of visualizations to assist in the interpretation of the analysis results. This paper presents a case study of the UML design and automated analysis of an industrial automotive embedded system using our formalization techniques, supporting tools and existing analysis","","0-7695-1125-2","","10.1109/ISRE.2001.948591","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=948591","","Analytical models;Computer science;Embedded software;Embedded system;Formal languages;Laboratories;Object oriented modeling;Software engineering;Testing;Unified modeling language","diagrams;embedded systems;formal specification;formal verification;object-oriented methods;specification languages","Promela;SPIN model checker;UML diagrams;Unified Modeling Language;analysis results interpretation;automated analysis;case study;formal approaches;formal languages;formal semantics;industrial automotive embedded system;informal approaches;notations;object-oriented modeling;our formalization techniques;requirements analysis;requirements modeling;supporting tools;visualizations","","","","1","","","","","20020807","27 Aug 2001-31 Aug 2001","IEEE","","IEEE Conference Publications"
"Object analysis patterns for embedded systems","Konrad, S.; Cheng, B. H C; Campbell, L.A.","Dept. of Comput. Sci. & Eng., Michigan State Univ., East Lansing, MI, USA","Software Engineering, IEEE Transactions on","Dec. 2004","2004","30","12","970","992","Some of the most challenging tasks in building a software system are capturing, refining, and analyzing requirements. How well these tasks are performed significantly impacts the quality of the developed software system. The difficulty of these tasks is greatly exacerbated for the software of embedded systems as these systems are commonly used for critical applications, have to operate reliably for long periods of time, and usually have a high degree of complexity. Current embedded systems software development practice, however, often deals with the (requirements) analysis phase in a superficial manner, instead emphasizing design and implementation. This research investigates how an approach similar to the well-known design patterns, termed object analysis patterns, can be applied in the analysis phase of embedded systems development, prior to design and coding. Specifically, our research explores how object-oriented modeling notations, such as the Unified Modeling Language (UML), can be used to represent structural and behavioral information as part of commonly occurring object analysis patterns. This work also investigates how UML-based conceptual models of embedded systems, based on the diagram templates in the object analysis patterns, can be automatically analyzed using the Spin model checker for adherence to properties specified in linear-time temporal logic (LTL) using a previously developed UML formalization framework. We have applied these patterns to several embedded systems applications obtained from the automotive industry. This paper describes one of our case studies and illustrates how our approach facilitates the construction of UML-based conceptual models of embedded systems and the analysis of these models for adherence to functional requirements.","0098-5589","","","10.1109/TSE.2004.102","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1377192","","Application software;Automatic logic units;Embedded software;Embedded system;Information analysis;Object oriented modeling;Pattern analysis;Programming;Software systems;Unified modeling language","Unified Modeling Language;embedded systems;formal specification;formal verification;object-oriented methods;object-oriented programming;software quality;temporal logic","Spin model checker;Unified Modeling Language;automotive industry;behavioral information;design pattern;embedded system;linear-time temporal logic;object analysis pattern;object-oriented modeling;software development;software system;structural information","","","","13","","53","","","20050110","","IEEE","IEEE Computer Society","IEEE Journals & Magazines"
